,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
58,2013.08.22,1.5616,1.56251,1.55626,1.55946,46703,0,1
59,2013.08.23,1.55948,1.56372,1.55385,1.55662,42000,0,1
60,2013.08.26,1.55792,1.56117,1.55563,1.55819,28657,0,1
61,2013.08.27,1.55821,1.55922,1.54815,1.55441,45119,0,1
62,2013.08.28,1.55441,1.55524,1.5428,1.55258,46576,0,1
63,2013.08.29,1.55256,1.5548,1.54823,1.55046,42381,0,1
64,2013.08.30,1.55046,1.55276,1.54629,1.54912,36943,0,1
65,2013.09.02,1.55166,1.55931,1.55054,1.55455,34964,0,1
66,2013.09.03,1.55455,1.56026,1.5522,1.55612,38420,0,1
67,2013.09.04,1.55616,1.56471,1.55556,1.56196,35962,0,1
68,2013.09.05,1.56196,1.56668,1.55728,1.5589,37316,0,1
69,2013.09.06,1.55885,1.56808,1.5563,1.56266,30789,0,1
70,2013.09.09,1.56329,1.57321,1.56278,1.56968,31562,0,1
71,2013.09.10,1.56968,1.57439,1.56853,1.57303,32613,0,1
72,2013.09.11,1.57303,1.58287,1.57184,1.58234,37472,0,1
73,2013.09.12,1.58237,1.58391,1.57763,1.58029,37076,0,1
74,2013.09.13,1.58028,1.58844,1.57761,1.58729,33214,0,1
75,2013.09.16,1.59358,1.59626,1.58943,1.59015,34075,0,1
76,2013.09.17,1.59019,1.59358,1.58857,1.59028,34805,0,1
77,2013.09.18,1.5903,1.61624,1.58922,1.61316,43425,0,1
78,2013.09.19,1.61316,1.61467,1.60225,1.60349,44381,0,1
79,2013.09.20,1.60351,1.60665,1.59864,1.60016,34386,0,1
80,2013.09.23,1.60163,1.6072,1.60123,1.60395,38816,0,1
81,2013.09.24,1.60395,1.60409,1.5955,1.5994,37090,0,1
82,2013.09.25,1.59938,1.60877,1.59792,1.60742,36484,0,1
83,2013.09.26,1.60742,1.60959,1.59992,1.60375,35469,0,1
84,2013.09.27,1.60375,1.61466,1.60296,1.61366,34232,0,1
85,2013.09.30,1.61662,1.62024,1.6128,1.61865,38478,0,1
86,2013.10.01,1.61865,1.62599,1.61828,1.61914,42034,0,1
87,2013.10.02,1.61905,1.62502,1.61623,1.62355,38056,0,1
88,2013.10.03,1.62357,1.62405,1.61528,1.61565,38398,0,1
89,2013.10.04,1.61566,1.61775,1.60054,1.60055,35858,0,1
90,2013.10.07,1.60394,1.60995,1.60256,1.60972,34212,0,1
91,2013.10.08,1.60968,1.61237,1.60196,1.61189,34566,0,1
92,2013.10.09,1.61189,1.61197,1.5916,1.59546,38890,0,1
93,2013.10.10,1.59546,1.59784,1.59137,1.59745,33458,0,1
94,2013.10.11,1.59745,1.60015,1.59233,1.59459,28961,0,1
95,2013.10.14,1.59656,1.60179,1.59541,1.59704,26438,0,1
