,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
38,2013.06.11,08:00:00,1.68598,1.70989,1.68585,1.70811,20366,0,48
39,2013.06.11,12:00:00,1.70818,1.71077,1.68927,1.68981,22336,0,48
40,2013.06.11,16:00:00,1.68983,1.69248,1.6822,1.68718,16999,0,48
41,2013.06.11,20:00:00,1.68717,1.69338,1.68272,1.68545,12888,0,188
42,2013.06.12,00:00:00,1.68551,1.68655,1.67955,1.68526,11116,0,188
43,2013.06.12,04:00:00,1.68531,1.69059,1.68266,1.68516,11454,0,48
44,2013.06.12,08:00:00,1.68523,1.68657,1.66243,1.66488,16641,0,48
45,2013.06.12,12:00:00,1.66492,1.67865,1.65358,1.67344,18397,0,48
46,2013.06.12,16:00:00,1.67335,1.67617,1.66601,1.6705,16248,0,48
47,2013.06.12,20:00:00,1.67044,1.67991,1.66671,1.67588,12445,0,188
48,2013.06.13,00:00:00,1.67591,1.69096,1.67419,1.68514,14587,0,188
49,2013.06.13,04:00:00,1.68509,1.68934,1.68249,1.68408,14721,0,48
50,2013.06.13,08:00:00,1.6841,1.68694,1.66175,1.66432,17367,0,48
51,2013.06.13,12:00:00,1.66433,1.67001,1.65548,1.65879,19791,0,48
52,2013.06.13,16:00:00,1.65875,1.66188,1.65195,1.65868,14349,0,48
53,2013.06.13,20:00:00,1.65869,1.66016,1.64735,1.65374,13026,0,11
54,2013.06.14,00:00:00,1.65374,1.66014,1.65224,1.65726,9620,0,11
55,2013.06.14,04:00:00,1.65724,1.65973,1.65228,1.65483,12112,0,11
56,2013.06.14,08:00:00,1.65474,1.65783,1.64454,1.64534,12938,0,11
57,2013.06.14,12:00:00,1.64537,1.65566,1.63889,1.65295,19384,0,11
58,2013.06.14,16:00:00,1.65291,1.65656,1.65126,1.65583,8509,0,11
59,2013.06.14,20:00:00,1.65565,1.6588,1.65479,1.65491,1288,0,37
60,2013.06.17,00:00:00,1.65778,1.65863,1.64726,1.64803,6955,0,11
61,2013.06.17,04:00:00,1.64808,1.65071,1.64558,1.65071,9968,0,11
62,2013.06.17,08:00:00,1.65075,1.65294,1.64889,1.65213,10830,0,11
63,2013.06.17,12:00:00,1.65213,1.6693,1.65093,1.66852,14266,0,11
64,2013.06.17,16:00:00,1.66849,1.67384,1.66633,1.67103,8660,0,11
65,2013.06.17,20:00:00,1.67103,1.67281,1.66765,1.67094,6331,0,11
66,2013.06.18,00:00:00,1.67106,1.6754,1.66715,1.67236,9943,0,11
67,2013.06.18,04:00:00,1.67237,1.67864,1.66884,1.67805,14093,0,11
68,2013.06.18,08:00:00,1.67806,1.68253,1.67577,1.67723,14830,0,11
69,2013.06.18,12:00:00,1.67723,1.67983,1.66693,1.67556,17843,0,11
70,2013.06.18,16:00:00,1.6756,1.67634,1.67101,1.67627,7604,0,11
71,2013.06.18,20:00:00,1.67619,1.67935,1.67436,1.67826,6319,0,11
72,2013.06.19,00:00:00,1.67826,1.68223,1.67624,1.6772,9210,0,11
73,2013.06.19,04:00:00,1.67715,1.67741,1.66925,1.67483,11370,0,11
74,2013.06.19,08:00:00,1.67484,1.67634,1.66928,1.67534,10912,0,11
75,2013.06.19,12:00:00,1.67538,1.67584,1.66405,1.66674,11033,0,11
76,2013.06.19,16:00:00,1.66674,1.68881,1.66232,1.68344,16662,0,11
77,2013.06.19,20:00:00,1.68343,1.69423,1.68033,1.68754,11538,0,11
78,2013.06.20,00:00:00,1.68754,1.69011,1.68333,1.68803,13233,0,11
79,2013.06.20,04:00:00,1.68804,1.69562,1.68643,1.69505,16065,0,11
80,2013.06.20,08:00:00,1.69507,1.70508,1.69195,1.69493,21183,0,11
81,2013.06.20,12:00:00,1.69476,1.71083,1.69224,1.71021,23031,0,11
82,2013.06.20,16:00:00,1.71017,1.71124,1.7018,1.70483,14164,0,11
83,2013.06.20,20:00:00,1.70488,1.70604,1.70158,1.70374,7618,0,11
84,2013.06.21,00:00:00,1.70384,1.70404,1.69512,1.70085,11211,0,11
85,2013.06.21,04:00:00,1.70084,1.70275,1.69759,1.70058,13396,0,11
86,2013.06.21,08:00:00,1.70053,1.70335,1.69739,1.70014,15890,0,11
87,2013.06.21,12:00:00,1.70014,1.70543,1.69204,1.70018,22077,0,11
88,2013.06.21,16:00:00,1.70008,1.70076,1.68855,1.69154,12312,0,11
89,2013.06.21,20:00:00,1.69114,1.69305,1.68824,1.69083,2018,0,11
90,2013.06.24,00:00:00,1.6881,1.693,1.68597,1.69034,11582,0,11
91,2013.06.24,04:00:00,1.69034,1.69884,1.68973,1.69761,14100,0,11
92,2013.06.24,08:00:00,1.69761,1.70384,1.69588,1.69588,17503,0,11
93,2013.06.24,12:00:00,1.69595,1.6975,1.68264,1.6939,23000,0,11
94,2013.06.24,16:00:00,1.6939,1.69581,1.68624,1.69152,13620,0,11
95,2013.06.24,20:00:00,1.6915,1.69396,1.68796,1.68852,8507,0,11
96,2013.06.25,00:00:00,1.68864,1.69976,1.68834,1.69891,12137,0,11
97,2013.06.25,04:00:00,1.69887,1.70073,1.68694,1.68856,15716,0,11
98,2013.06.25,08:00:00,1.68866,1.69797,1.68474,1.69482,17394,0,11
99,2013.06.25,12:00:00,1.69482,1.69824,1.68934,1.69213,19952,0,11
100,2013.06.25,16:00:00,1.6922,1.69363,1.68817,1.6919,9465,0,11
101,2013.06.25,20:00:00,1.69193,1.69378,1.68794,1.69197,7401,0,11
102,2013.06.26,00:00:00,1.69198,1.69443,1.68806,1.69069,12007,0,11
103,2013.06.26,04:00:00,1.69069,1.69262,1.6812,1.68438,14175,0,11
104,2013.06.26,08:00:00,1.68439,1.68575,1.67177,1.67616,17069,0,11
105,2013.06.26,12:00:00,1.67618,1.67794,1.65803,1.66492,20232,0,11
106,2013.06.26,16:00:00,1.66486,1.67317,1.6626,1.6688,9868,0,11
107,2013.06.26,20:00:00,1.66896,1.67338,1.66708,1.67227,7703,0,11
108,2013.06.27,00:00:00,1.67228,1.67395,1.66198,1.66381,11407,0,188
109,2013.06.27,04:00:00,1.66391,1.66841,1.6613,1.66275,11667,0,48
110,2013.06.27,08:00:00,1.66277,1.66826,1.66178,1.66632,16483,0,48
111,2013.06.27,12:00:00,1.66634,1.66983,1.65986,1.66964,20250,0,48
112,2013.06.27,16:00:00,1.66963,1.67629,1.66824,1.67425,13956,0,48
113,2013.06.27,20:00:00,1.67423,1.67568,1.66986,1.67055,10092,0,188
114,2013.06.28,00:00:00,1.67056,1.67912,1.66989,1.67299,13938,0,188
115,2013.06.28,04:00:00,1.673,1.6758,1.66889,1.66975,13149,0,48
116,2013.06.28,08:00:00,1.66978,1.67596,1.66896,1.67593,16209,0,48
117,2013.06.28,12:00:00,1.67601,1.68847,1.67564,1.68305,20709,0,48
118,2013.06.28,16:00:00,1.68306,1.68648,1.67623,1.67836,16149,0,48
119,2013.06.28,20:00:00,1.67837,1.68109,1.6777,1.67824,5094,0,188
120,2013.07.01,00:00:00,1.67895,1.68427,1.67484,1.67584,7772,0,11
121,2013.07.01,04:00:00,1.67584,1.68443,1.67383,1.68393,10518,0,11
122,2013.07.01,08:00:00,1.68404,1.68423,1.6755,1.67834,12265,0,11
123,2013.07.01,12:00:00,1.67834,1.67973,1.66779,1.668,16278,0,11
124,2013.07.01,16:00:00,1.66804,1.67354,1.66749,1.67264,7879,0,11
125,2013.07.01,20:00:00,1.67267,1.67291,1.66864,1.6693,5142,0,11
126,2013.07.02,00:00:00,1.6693,1.67473,1.66911,1.6724,8796,0,11
127,2013.07.02,04:00:00,1.67236,1.68134,1.67125,1.67483,14617,0,11
128,2013.07.02,08:00:00,1.67481,1.67607,1.66974,1.67564,13075,0,11
129,2013.07.02,12:00:00,1.67564,1.68164,1.67263,1.67758,17619,0,11
130,2013.07.02,16:00:00,1.67757,1.68034,1.67404,1.67504,10641,0,11
131,2013.07.02,20:00:00,1.67503,1.67594,1.67178,1.67487,5596,0,11
132,2013.07.03,00:00:00,1.67494,1.67754,1.66786,1.67694,12148,0,11
133,2013.07.03,04:00:00,1.67687,1.68244,1.67277,1.67285,15483,0,11
134,2013.07.03,08:00:00,1.67281,1.67427,1.66869,1.6733,17271,0,11
135,2013.07.03,12:00:00,1.67334,1.67764,1.66951,1.67186,18533,0,11
136,2013.07.03,16:00:00,1.67197,1.67754,1.67084,1.67473,7917,0,11
137,2013.07.03,20:00:00,1.67444,1.67514,1.66914,1.67051,6852,0,11
138,2013.07.04,00:00:00,1.6704,1.67344,1.66524,1.66964,11116,0,11
139,2013.07.04,04:00:00,1.66963,1.67184,1.66742,1.66954,12478,0,11
140,2013.07.04,08:00:00,1.66954,1.67014,1.66365,1.66564,12759,0,11
