,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
45,2013.06.12,12:00:00,0.91084,0.9136,0.90277,0.9035,14511,0,34
46,2013.06.12,16:00:00,0.90352,0.90582,0.89906,0.90237,12913,0,34
47,2013.06.12,20:00:00,0.9024,0.90249,0.90053,0.90166,5413,0,74
48,2013.06.13,00:00:00,0.90165,0.90169,0.89708,0.8981,6573,0,74
49,2013.06.13,04:00:00,0.89809,0.89896,0.89375,0.8966,8451,0,34
50,2013.06.13,08:00:00,0.89659,0.90725,0.89658,0.90685,12236,0,34
51,2013.06.13,12:00:00,0.90686,0.91056,0.90541,0.90827,15754,0,34
52,2013.06.13,16:00:00,0.90829,0.90845,0.90453,0.90479,10957,0,34
53,2013.06.13,20:00:00,0.90481,0.90833,0.90464,0.9082,6659,0,7
54,2013.06.14,00:00:00,0.90817,0.9082,0.90565,0.90768,3375,0,1
55,2013.06.14,04:00:00,0.90765,0.91026,0.90583,0.91004,5588,0,1
56,2013.06.14,08:00:00,0.91007,0.91038,0.90704,0.91034,7660,0,1
57,2013.06.14,12:00:00,0.91033,0.91123,0.904,0.90631,16667,0,1
58,2013.06.14,16:00:00,0.90634,0.90744,0.90529,0.90585,7465,0,1
59,2013.06.14,20:00:00,0.90587,0.90607,0.90443,0.90495,930,0,5
60,2013.06.17,00:00:00,0.90702,0.90944,0.90683,0.90942,2594,0,3
61,2013.06.17,04:00:00,0.90937,0.9109,0.90718,0.90718,4728,0,1
62,2013.06.17,08:00:00,0.90723,0.90993,0.90697,0.9087,5798,0,1
63,2013.06.17,12:00:00,0.9087,0.91107,0.90643,0.90951,10999,0,1
64,2013.06.17,16:00:00,0.90953,0.90996,0.90526,0.90592,6864,0,1
65,2013.06.17,20:00:00,0.90592,0.90613,0.90479,0.90505,2194,0,1
66,2013.06.18,00:00:00,0.90503,0.90644,0.90494,0.90629,2563,0,1
67,2013.06.18,04:00:00,0.90631,0.9089,0.90452,0.90459,5202,0,1
68,2013.06.18,08:00:00,0.90458,0.90515,0.89963,0.90224,8471,0,1
69,2013.06.18,12:00:00,0.90226,0.90553,0.89893,0.89969,12847,0,1
70,2013.06.18,16:00:00,0.89972,0.90196,0.89943,0.90097,5150,0,2
71,2013.06.18,20:00:00,0.90094,0.90107,0.89992,0.9001,2087,0,2
72,2013.06.19,00:00:00,0.90009,0.90023,0.89873,0.89916,2618,0,1
73,2013.06.19,04:00:00,0.89913,0.90127,0.89888,0.9005,4796,0,1
74,2013.06.19,08:00:00,0.90048,0.90252,0.90027,0.90135,6693,0,1
75,2013.06.19,12:00:00,0.90134,0.90399,0.90106,0.90237,9069,0,1
76,2013.06.19,16:00:00,0.90234,0.90757,0.90067,0.90486,15097,0,1
77,2013.06.19,20:00:00,0.90489,0.90542,0.9027,0.90358,5206,0,4
78,2013.06.20,00:00:00,0.90355,0.90414,0.90009,0.90307,5248,0,1
79,2013.06.20,04:00:00,0.9031,0.90425,0.90026,0.90214,9984,0,5
80,2013.06.20,08:00:00,0.90216,0.90462,0.89968,0.90124,14101,0,1
81,2013.06.20,12:00:00,0.90122,0.90275,0.89509,0.89516,17799,0,1
82,2013.06.20,16:00:00,0.89518,0.89599,0.89236,0.89427,10926,0,1
83,2013.06.20,20:00:00,0.89429,0.89475,0.89178,0.89222,3716,0,2
84,2013.06.21,00:00:00,0.89234,0.89461,0.89112,0.89189,3326,0,1
85,2013.06.21,04:00:00,0.89184,0.89599,0.89172,0.89444,5665,0,3
86,2013.06.21,08:00:00,0.89453,0.8958,0.89293,0.89388,7442,0,1
87,2013.06.21,12:00:00,0.89386,0.89548,0.88812,0.89351,16780,0,1
88,2013.06.21,16:00:00,0.89356,0.89496,0.89129,0.8936,9556,0,2
89,2013.06.21,20:00:00,0.89361,0.89416,0.89215,0.8927,1825,0,7
90,2013.06.24,00:00:00,0.89372,0.89377,0.89225,0.89235,2976,0,6
91,2013.06.24,04:00:00,0.89253,0.89298,0.88916,0.88965,6588,0,2
92,2013.06.24,08:00:00,0.88963,0.89019,0.88644,0.88813,10551,0,1
93,2013.06.24,12:00:00,0.88813,0.88879,0.88461,0.88732,16099,0,1
94,2013.06.24,16:00:00,0.88726,0.89058,0.88524,0.88969,10275,0,1
95,2013.06.24,20:00:00,0.88971,0.89005,0.88625,0.88794,3280,0,6
96,2013.06.25,00:00:00,0.88794,0.88956,0.88699,0.88709,3029,0,9
97,2013.06.25,04:00:00,0.88712,0.89152,0.88671,0.89079,7340,0,6
98,2013.06.25,08:00:00,0.89077,0.89361,0.89071,0.8911,9663,0,1
99,2013.06.25,12:00:00,0.89108,0.89447,0.89031,0.89304,16358,0,1
100,2013.06.25,16:00:00,0.89295,0.89401,0.89133,0.89175,7619,0,1
101,2013.06.25,20:00:00,0.89173,0.89295,0.89136,0.89231,2652,0,1
102,2013.06.26,00:00:00,0.89228,0.89376,0.89151,0.89321,3414,0,6
103,2013.06.26,04:00:00,0.89329,0.89603,0.89277,0.89559,6667,0,1
104,2013.06.26,08:00:00,0.89559,0.89883,0.89459,0.89847,9583,0,1
105,2013.06.26,12:00:00,0.89845,0.90153,0.89595,0.90097,14142,0,1
106,2013.06.26,16:00:00,0.90101,0.90168,0.89938,0.89964,7344,0,1
107,2013.06.26,20:00:00,0.8997,0.90058,0.89906,0.89961,3607,0,4
108,2013.06.27,00:00:00,0.8996,0.90254,0.89918,0.90241,5151,0,74
109,2013.06.27,04:00:00,0.90242,0.90371,0.90137,0.90336,5966,0,34
110,2013.06.27,08:00:00,0.90334,0.9053,0.90218,0.90367,11032,0,34
111,2013.06.27,12:00:00,0.90366,0.90703,0.90229,0.90387,14850,0,34
112,2013.06.27,16:00:00,0.90389,0.90412,0.9008,0.90104,9731,0,34
113,2013.06.27,20:00:00,0.90103,0.90208,0.90052,0.9014,4419,0,74
114,2013.06.28,00:00:00,0.90141,0.90171,0.89925,0.90032,5520,0,74
115,2013.06.28,04:00:00,0.90031,0.90377,0.89963,0.90356,7019,0,34
116,2013.06.28,08:00:00,0.90359,0.90388,0.90062,0.90102,10255,0,34
117,2013.06.28,12:00:00,0.90104,0.90104,0.89615,0.89665,15577,0,34
118,2013.06.28,16:00:00,0.89671,0.90048,0.89657,0.89814,12256,0,34
119,2013.06.28,20:00:00,0.89815,0.89931,0.89712,0.89712,4107,0,74
120,2013.07.01,00:00:00,0.89854,0.89899,0.89682,0.89839,2786,0,2
121,2013.07.01,04:00:00,0.89836,0.90033,0.89762,0.89813,5319,0,1
122,2013.07.01,08:00:00,0.89813,0.89974,0.89737,0.89953,7471,0,1
123,2013.07.01,12:00:00,0.89957,0.90438,0.89911,0.90026,11052,0,1
