,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,1.29944,1.30154,1.29873,1.3013,5323,0,1
1,2013.06.03,04:00:00,1.30137,1.30367,1.30058,1.30302,8847,0,1
2,2013.06.03,08:00:00,1.30301,1.30434,1.29911,1.29988,11521,0,1
3,2013.06.03,12:00:00,1.29987,1.31074,1.29555,1.30964,18640,0,1
4,2013.06.03,16:00:00,1.30968,1.31027,1.30695,1.30709,8689,0,1
5,2013.06.03,20:00:00,1.30709,1.30787,1.30653,1.30707,4446,0,1
6,2013.06.04,00:00:00,1.30705,1.30804,1.30566,1.30575,5881,0,1
7,2013.06.04,04:00:00,1.30574,1.30861,1.30519,1.30656,9782,0,1
8,2013.06.04,08:00:00,1.30654,1.30974,1.30652,1.30816,12190,0,1
9,2013.06.04,12:00:00,1.30815,1.31012,1.30426,1.30743,17346,0,1
10,2013.06.04,16:00:00,1.30742,1.30868,1.30596,1.30806,6825,0,1
11,2013.06.04,20:00:00,1.30807,1.30894,1.30709,1.30717,4095,0,1
12,2013.06.05,00:00:00,1.30717,1.30947,1.30651,1.30894,6793,0,1
13,2013.06.05,04:00:00,1.30894,1.31072,1.30665,1.30783,11813,0,1
14,2013.06.05,08:00:00,1.30782,1.30824,1.30532,1.30673,11824,0,1
15,2013.06.05,12:00:00,1.30674,1.31157,1.30601,1.30883,19361,0,1
16,2013.06.05,16:00:00,1.30883,1.31021,1.30797,1.30904,8077,0,1
17,2013.06.05,20:00:00,1.30905,1.30958,1.30864,1.30915,4405,0,1
18,2013.06.06,00:00:00,1.30916,1.30971,1.30749,1.30896,4986,0,10
19,2013.06.06,04:00:00,1.30897,1.31263,1.30893,1.31232,8753,0,3
20,2013.06.06,08:00:00,1.31232,1.31301,1.31083,1.31115,11599,0,3
21,2013.06.06,12:00:00,1.31114,1.31959,1.30906,1.31939,19385,0,3
22,2013.06.06,16:00:00,1.31937,1.33045,1.31814,1.32449,17049,0,3
