,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,130.585,130.982,129.517,130.36,99373,0,5
1,2013.06.04,130.359,131.398,129.928,131.071,95166,0,5
2,2013.06.05,131.071,131.401,129.597,129.773,106244,0,5
3,2013.06.06,129.771,130.716,127.484,128.847,116782,0,13
4,2013.06.07,128.847,129.174,126.155,128.896,124381,0,13
5,2013.06.10,129.776,131.295,129.206,131.041,106720,0,10
6,2013.06.11,131.041,131.13,127.103,127.968,122310,0,13
7,2013.06.12,127.967,129.337,127.032,127.961,108576,0,13
8,2013.06.13,127.962,127.965,124.965,127.679,122233,0,5
9,2013.06.14,127.673,127.673,125.182,125.503,99308,0,5
10,2013.06.17,125.974,126.922,125.813,126.367,82588,0,5
11,2013.06.18,126.369,128.114,126.319,128.023,85665,0,5
12,2013.06.19,128.023,128.763,127.058,128.277,92139,0,5
13,2013.06.20,128.277,129.907,127.821,128.329,124644,0,5
14,2013.06.21,128.326,129.696,127.789,128.415,98474,0,5
15,2013.06.24,128.948,129.204,127.286,128.222,104985,0,5
16,2013.06.25,128.221,128.668,127.293,128.35,97505,0,5
17,2013.06.26,128.35,128.421,126.572,127.239,95754,0,5
18,2013.06.27,127.239,128.394,127.041,128.36,93435,0,13
19,2013.06.28,128.36,129.643,128.345,128.942,94837,0,13
20,2013.07.01,129.359,130.272,129.079,130.18,71293,0,1
21,2013.07.02,130.18,131.119,129.837,130.733,78637,0,1
22,2013.07.03,130.733,130.799,128.645,129.955,87170,0,1
23,2013.07.04,129.959,130.043,128.831,129.238,65368,0,5
24,2013.07.05,129.238,129.881,128.58,129.765,71741,0,5
25,2013.07.08,130.036,130.179,129.397,129.817,69050,0,5
26,2013.07.09,129.815,130.561,128.706,129.275,74789,0,5
27,2013.07.10,129.274,130.112,128.014,129.917,99177,0,5
28,2013.07.11,129.913,130.428,128.644,129.335,108161,0,5
29,2013.07.12,129.342,129.952,128.906,129.57,71440,0,1
30,2013.07.15,129.561,130.705,129.393,130.522,67548,0,1
31,2013.07.16,130.518,130.814,130.036,130.314,80044,0,1
32,2013.07.17,130.316,131.357,130.289,130.606,78798,0,1
33,2013.07.18,130.608,131.919,130.532,131.822,76679,0,1
34,2013.07.19,131.825,132.234,131.214,132.188,72999,0,1
35,2013.07.22,132.075,132.077,130.85,131.01,72748,0,1
36,2013.07.23,131.012,132.017,130.765,131.562,73609,0,1
37,2013.07.24,131.563,132.733,131.37,132.434,73339,0,1
38,2013.07.25,132.433,132.461,131.454,131.739,81499,0,1
39,2013.07.26,131.741,131.87,130.083,130.474,73426,0,1
40,2013.07.29,130.145,130.445,129.586,130.03,73119,0,1
41,2013.07.30,130.029,130.517,129.826,130.017,70658,0,1
42,2013.07.31,130.017,130.787,129.335,130.14,89019,0,1
43,2013.08.01,130.138,131.547,129.933,131.355,79801,0,1
44,2013.08.02,131.353,131.957,131.071,131.333,70805,0,1
45,2013.08.05,131.347,131.553,130.146,130.251,64333,0,1
46,2013.08.06,130.251,130.729,129.296,129.538,75221,0,1
47,2013.08.07,129.536,129.683,128.44,128.819,83518,0,1
48,2013.08.08,128.817,129.585,128.215,129.461,78336,0,1
49,2013.08.09,129.461,129.71,128.282,128.344,62955,0,1
50,2013.08.12,128.122,129.343,128.024,129.185,64403,0,1
