,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,1.24356,1.24862,1.23308,1.23884,54704,0,5
1,2013.06.04,1.23884,1.24289,1.23769,1.23963,51996,0,5
2,2013.06.05,1.23963,1.24119,1.23088,1.23293,57481,0,5
3,2013.06.06,1.2329,1.23863,1.22713,1.23144,68270,0,18
4,2013.06.07,1.23144,1.23794,1.22696,1.23669,67297,0,18
5,2013.06.10,1.2376,1.24181,1.23532,1.23774,52563,0,18
6,2013.06.11,1.23773,1.23858,1.2244,1.23072,61855,0,18
7,2013.06.12,1.23071,1.23335,1.22545,1.22811,54097,0,18
8,2013.06.13,1.22812,1.23378,1.22223,1.23361,66552,0,5
9,2013.06.14,1.23361,1.23361,1.22768,1.22887,43637,0,5
10,2013.06.17,1.23076,1.2363,1.23007,1.23238,36014,0,5
11,2013.06.18,1.23238,1.2357,1.22916,1.23247,40080,0,5
12,2013.06.19,1.23247,1.2364,1.23096,1.23416,44028,0,5
13,2013.06.20,1.23414,1.23466,1.2242,1.2252,64837,0,5
14,2013.06.21,1.22527,1.22855,1.22421,1.22561,40321,0,5
15,2013.06.24,1.22774,1.2279,1.22184,1.22468,48127,0,5
16,2013.06.25,1.22468,1.22964,1.22346,1.22797,46698,0,5
17,2013.06.26,1.22794,1.22828,1.22398,1.22608,43705,0,5
18,2013.06.27,1.22607,1.2337,1.22577,1.23163,52723,0,18
19,2013.06.28,1.23162,1.23537,1.22829,1.22846,52786,0,18
20,2013.07.01,1.22992,1.23763,1.22912,1.2347,35993,0,5
21,2013.07.02,1.2347,1.2382,1.2327,1.23432,39539,0,5
22,2013.07.03,1.23433,1.23479,1.22802,1.23177,45160,0,5
23,2013.07.04,1.23187,1.23739,1.23062,1.23536,40452,0,5
24,2013.07.05,1.23534,1.23776,1.23329,1.23596,42326,0,5
25,2013.07.08,1.23776,1.24142,1.23721,1.24029,34439,0,5
26,2013.07.09,1.2403,1.24655,1.23985,1.24399,42988,0,5
27,2013.07.10,1.24403,1.24564,1.24062,1.2426,57609,0,5
28,2013.07.11,1.2426,1.24433,1.23654,1.24012,67542,0,5
29,2013.07.12,1.24013,1.24049,1.23474,1.2362,37823,0,5
30,2013.07.15,1.23652,1.24037,1.23615,1.23846,37846,0,5
31,2013.07.16,1.23844,1.24032,1.23552,1.23638,44127,0,5
32,2013.07.17,1.2364,1.2376,1.23256,1.23458,41761,0,5
33,2013.07.18,1.23458,1.23904,1.23432,1.23803,34692,0,1
34,2013.07.19,1.23804,1.23851,1.23518,1.23628,28909,0,1
35,2013.07.22,1.23616,1.23773,1.23209,1.23453,31018,0,1
36,2013.07.23,1.23452,1.23945,1.23421,1.23618,30776,0,1
37,2013.07.24,1.23615,1.24029,1.23557,1.23732,34360,0,1
38,2013.07.25,1.23734,1.23853,1.23396,1.23435,34459,0,1
39,2013.07.26,1.23435,1.23483,1.23132,1.2322,28482,0,1
40,2013.07.29,1.23308,1.2351,1.23224,1.23483,26372,0,1
41,2013.07.30,1.23484,1.23535,1.23221,1.2331,28032,0,1
42,2013.07.31,1.2331,1.2344,1.23048,1.23179,42057,0,1
43,2013.08.01,1.23182,1.23772,1.231,1.23729,38862,0,1
44,2013.08.02,1.23731,1.23969,1.23251,1.23398,35152,0,1
45,2013.08.05,1.23377,1.23582,1.22888,1.22959,32406,0,1
46,2013.08.06,1.22956,1.2328,1.22673,1.23111,33430,0,1
47,2013.08.07,1.23111,1.23265,1.22836,1.22907,39133,0,1
48,2013.08.08,1.22903,1.23179,1.22807,1.23106,36220,0,1
49,2013.08.09,1.23103,1.23177,1.22939,1.22999,27001,0,1
50,2013.08.12,1.22991,1.23293,1.22957,1.23142,29299,0,1
51,2013.08.13,1.2314,1.23822,1.23134,1.23733,36053,0,1
52,2013.08.14,1.23733,1.24264,1.23659,1.23868,35400,0,1
53,2013.08.15,1.2387,1.24337,1.23372,1.23542,42745,0,1
54,2013.08.16,1.23541,1.23828,1.23303,1.23471,33940,0,1
55,2013.08.19,1.23579,1.23703,1.23137,1.23262,26378,0,1
56,2013.08.20,1.23263,1.23386,1.22854,1.23071,35250,0,1
57,2013.08.21,1.23069,1.23319,1.23002,1.23196,37755,0,1
58,2013.08.22,1.23196,1.23578,1.23142,1.23345,35458,0,1
59,2013.08.23,1.23346,1.23619,1.23188,1.23276,33510,0,1
60,2013.08.26,1.23291,1.23564,1.23283,1.23357,23178,0,1
61,2013.08.27,1.23351,1.23359,1.22809,1.22823,35519,0,1
62,2013.08.28,1.22823,1.23063,1.22772,1.23036,34554,0,1
63,2013.08.29,1.23036,1.23286,1.22952,1.23266,36071,0,1
64,2013.08.30,1.23268,1.23287,1.22813,1.22906,29255,0,1
65,2013.09.02,1.23146,1.23326,1.2307,1.23281,24626,0,1
66,2013.09.03,1.23279,1.23419,1.23131,1.23338,30680,0,1
67,2013.09.04,1.2334,1.23677,1.233,1.23529,26988,0,1
68,2013.09.05,1.23528,1.24001,1.23519,1.23975,33104,0,1
69,2013.09.06,1.23973,1.24009,1.23257,1.23579,28832,0,1
70,2013.09.09,1.23666,1.23683,1.23355,1.23629,25379,0,1
71,2013.09.10,1.2363,1.2404,1.23611,1.24034,27697,0,1
72,2013.09.11,1.2403,1.24145,1.23704,1.23832,26392,0,1
73,2013.09.12,1.2383,1.23877,1.23522,1.23788,25589,0,1
74,2013.09.13,1.23789,1.23898,1.23581,1.23583,24574,0,1
75,2013.09.16,1.23586,1.23797,1.23471,1.2361,26969,0,1
76,2013.09.17,1.2361,1.23842,1.23554,1.23683,23919,0,1
77,2013.09.18,1.23682,1.2375,1.23284,1.2339,34313,0,1
78,2013.09.19,1.2339,1.23506,1.23103,1.23228,35074,0,1
79,2013.09.20,1.23228,1.23309,1.23026,1.23118,27156,0,1
80,2013.09.23,1.23264,1.23351,1.22765,1.22884,26649,0,1
81,2013.09.24,1.22883,1.23063,1.22853,1.23059,27518,0,1
82,2013.09.25,1.23057,1.23097,1.22874,1.22997,26809,0,1
83,2013.09.26,1.22999,1.23104,1.22741,1.22765,26731,0,1
84,2013.09.27,1.22765,1.22776,1.22363,1.22459,27404,0,1
85,2013.09.30,1.22172,1.2246,1.22147,1.2244,30290,0,1
86,2013.10.01,1.22442,1.22681,1.22167,1.22589,33778,0,1
87,2013.10.02,1.22589,1.22676,1.22229,1.22579,31914,0,1
88,2013.10.03,1.22579,1.22788,1.2232,1.22456,32427,0,1
89,2013.10.04,1.22454,1.23002,1.22363,1.2296,28087,0,1
90,2013.10.07,1.2285,1.22873,1.22527,1.22615,28112,0,1
91,2013.10.08,1.22616,1.22945,1.22616,1.22659,26135,0,1
92,2013.10.09,1.22659,1.23199,1.22659,1.23103,31735,0,1
93,2013.10.10,1.23105,1.23289,1.23016,1.23223,24267,0,1
94,2013.10.11,1.23226,1.23532,1.23119,1.2347,22824,0,1
95,2013.10.14,1.23358,1.23588,1.23219,1.23534,20585,0,1
96,2013.10.15,1.23533,1.23751,1.23347,1.23537,29230,0,1
97,2013.10.16,1.23535,1.23671,1.23369,1.23624,29975,0,1
98,2013.10.17,1.23623,1.2363,1.23107,1.23445,31816,0,1
99,2013.10.18,1.23446,1.23516,1.23364,1.23395,22424,0,1
100,2013.10.21,1.23426,1.23574,1.23229,1.23403,21516,0,1
101,2013.10.22,1.23403,1.23639,1.23122,1.23314,24125,0,1
102,2013.10.23,1.23312,1.23349,1.22821,1.22966,29880,0,1
103,2013.10.24,1.22966,1.23181,1.2285,1.23166,27890,0,1
104,2013.10.25,1.23166,1.23488,1.22991,1.23168,26469,0,1
105,2013.10.28,1.2329,1.23559,1.2326,1.2348,25039,0,1
106,2013.10.29,1.2348,1.23713,1.23371,1.23653,31129,0,1
107,2013.10.30,1.23653,1.23703,1.23325,1.23497,30921,0,1
108,2013.10.31,1.23498,1.23592,1.22998,1.23069,36109,0,1
109,2013.11.01,1.23069,1.23252,1.22971,1.23017,29778,0,1
110,2013.11.04,1.23078,1.23252,1.22922,1.22986,21919,0,1
111,2013.11.05,1.22983,1.23159,1.22873,1.23086,28770,0,1
112,2013.11.06,1.23085,1.23294,1.23047,1.23247,24539,0,1
113,2013.11.07,1.23251,1.23369,1.22828,1.22927,37964,0,1
114,2013.11.08,1.22929,1.23223,1.22881,1.23118,31144,0,1
115,2013.11.11,1.23166,1.23331,1.23155,1.23287,22307,0,1
116,2013.11.12,1.23285,1.23376,1.23133,1.23253,31635,0,1
117,2013.11.13,1.23253,1.23299,1.23134,1.23263,31665,0,1
118,2013.11.14,1.23263,1.23449,1.23186,1.23432,30600,0,1
119,2013.11.15,1.2343,1.23509,1.23278,1.23451,23389,0,1
120,2013.11.18,1.23432,1.23454,1.23163,1.23249,26970,0,1
121,2013.11.19,1.23248,1.23402,1.23199,1.23329,30598,0,1
122,2013.11.20,1.23328,1.23354,1.23059,1.23171,33622,0,1
123,2013.11.21,1.23172,1.23238,1.23056,1.23136,31077,0,1
124,2013.11.22,1.23134,1.23221,1.22855,1.22897,26431,0,1
125,2013.11.25,1.22937,1.23289,1.22919,1.23232,23269,0,1
126,2013.11.26,1.23231,1.2329,1.22984,1.23073,25624,0,1
127,2013.11.27,1.23075,1.23325,1.2301,1.23243,27898,0,1
128,2013.11.28,1.23242,1.23271,1.23091,1.23232,21350,0,1
129,2013.11.29,1.23231,1.23318,1.22927,1.23131,27909,0,1
130,2013.12.02,1.23141,1.23237,1.2295,1.23069,29142,0,1
131,2013.12.03,1.23069,1.23124,1.22779,1.2291,31535,0,1
132,2013.12.04,1.22915,1.22976,1.22562,1.22609,35054,0,1
133,2013.12.05,1.22607,1.22814,1.22498,1.22552,34484,0,1
134,2013.12.06,1.22552,1.22613,1.2215,1.22197,28852,0,1
135,2013.12.09,1.22288,1.22442,1.22226,1.22325,24264,0,1
136,2013.12.10,1.22325,1.22385,1.22067,1.22146,26826,0,1
137,2013.12.11,1.2215,1.22273,1.22051,1.22216,27802,0,1
138,2013.12.12,1.22216,1.22468,1.21999,1.22374,32603,0,1
139,2013.12.13,1.22374,1.22404,1.22115,1.22151,25768,0,1
140,2013.12.16,1.22288,1.22296,1.22015,1.22105,25462,0,1
141,2013.12.17,1.22105,1.22165,1.21667,1.21803,25442,0,1
142,2013.12.18,1.21805,1.22465,1.21804,1.22314,36739,0,1
143,2013.12.19,1.22316,1.22741,1.2227,1.22567,31561,0,1
144,2013.12.20,1.22567,1.22677,1.22334,1.22478,27351,0,1
145,2013.12.23,1.22535,1.2263,1.22335,1.22395,22124,0,1
146,2013.12.24,1.22394,1.22588,1.22366,1.22556,15013,0,2
147,2013.12.26,1.22628,1.22746,1.22592,1.22693,15718,0,1
148,2013.12.27,1.22685,1.2278,1.22249,1.22518,25213,0,1
149,2013.12.30,1.22573,1.22701,1.22408,1.22495,21418,0,1
150,2013.12.31,1.22471,1.22769,1.22445,1.22516,16319,0,1
151,2014.01.01,1.22643,1.22785,1.22643,1.22723,5784,0,10
152,2014.01.02,1.22722,1.23201,1.22668,1.2291,46021,0,1
153,2014.01.03,1.2291,1.23118,1.22814,1.22956,25144,0,1
154,2014.01.06,1.23076,1.23325,1.22967,1.23289,28795,0,1
155,2014.01.07,1.23298,1.23842,1.23239,1.23816,27790,0,1
156,2014.01.08,1.23815,1.23939,1.23584,1.23749,31501,0,1
157,2014.01.09,1.23749,1.23865,1.23357,1.2345,31631,0,1
158,2014.01.10,1.2345,1.23478,1.23228,1.23342,26619,0,1
159,2014.01.13,1.23349,1.23431,1.22893,1.22959,27267,0,1
160,2014.01.14,1.22959,1.23478,1.22957,1.23423,27255,0,1
161,2014.01.15,1.23422,1.23699,1.23403,1.2367,28061,0,1
162,2014.01.16,1.23671,1.23749,1.23147,1.23226,27693,0,1
163,2014.01.17,1.23226,1.23363,1.23175,1.23202,24392,0,1
164,2014.01.20,1.23334,1.2344,1.23251,1.23434,20239,0,1
165,2014.01.21,1.23432,1.23761,1.23246,1.23456,26410,0,1
166,2014.01.22,1.23455,1.23612,1.2332,1.23582,24129,0,1
167,2014.01.23,1.23584,1.23604,1.2275,1.22932,33678,0,1
168,2014.01.24,1.22936,1.23004,1.2225,1.2225,31040,0,1
169,2014.01.27,1.22397,1.2273,1.22342,1.22574,27870,0,1
170,2014.01.28,1.22574,1.2291,1.22524,1.22833,26918,0,1
171,2014.01.29,1.22832,1.22973,1.22129,1.222,31506,0,1
172,2014.01.30,1.22203,1.22542,1.22187,1.22335,30660,0,1
173,2014.01.31,1.22335,1.22455,1.22108,1.22159,31456,0,1
174,2014.02.03,1.2234,1.22419,1.21844,1.2194,31313,0,1
175,2014.02.04,1.2194,1.22316,1.21864,1.22159,27710,0,1
176,2014.02.05,1.22165,1.22365,1.2205,1.22354,33785,0,1
177,2014.02.06,1.22352,1.22449,1.22112,1.22397,36341,0,1
