,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
109,2013.06.27,04:00:00,97.696,98.105,97.681,98.003,11110,0,3
110,2013.06.27,08:00:00,98.006,98.363,97.966,98.136,13405,0,3
111,2013.06.27,12:00:00,98.138,98.51,97.834,98.509,16239,0,3
112,2013.06.27,16:00:00,98.509,98.565,98.12,98.379,10980,0,3
113,2013.06.27,20:00:00,98.381,98.494,98.236,98.484,5536,0,13
114,2013.06.28,00:00:00,98.484,98.972,98.459,98.84,12192,0,13
115,2013.06.28,04:00:00,98.841,99.01,98.647,98.834,12528,0,3
116,2013.06.28,08:00:00,98.836,99.132,98.787,99.043,12866,0,3
117,2013.06.28,12:00:00,99.042,99.401,98.867,99.329,17826,0,3
118,2013.06.28,16:00:00,99.331,99.443,99.157,99.167,11003,0,3
119,2013.06.28,20:00:00,99.168,99.297,99.111,99.121,3502,0,13
120,2013.07.01,00:00:00,99.449,99.463,99.178,99.305,9981,0,1
121,2013.07.01,04:00:00,99.303,99.718,99.293,99.597,9257,0,1
122,2013.07.01,08:00:00,99.598,99.699,99.527,99.68,7241,0,1
123,2013.07.01,12:00:00,99.679,99.861,99.592,99.618,10741,0,1
124,2013.07.01,16:00:00,99.618,99.741,99.548,99.589,4907,0,1
125,2013.07.01,20:00:00,99.589,99.708,99.548,99.621,3425,0,1
126,2013.07.02,00:00:00,99.621,99.66,99.508,99.574,8299,0,1
127,2013.07.02,04:00:00,99.574,99.904,99.57,99.697,9002,0,1
128,2013.07.02,08:00:00,99.696,99.834,99.622,99.815,7523,0,1
129,2013.07.02,12:00:00,99.82,100.453,99.804,100.433,13591,0,1
130,2013.07.02,16:00:00,100.429,100.725,100.403,100.643,8153,0,1
131,2013.07.02,20:00:00,100.644,100.853,100.578,100.759,4376,0,1
132,2013.07.03,00:00:00,100.759,100.765,100.441,100.709,10672,0,1
133,2013.07.03,04:00:00,100.71,100.825,100.075,100.101,11544,0,1
134,2013.07.03,08:00:00,100.106,100.126,99.261,99.479,13433,0,1
135,2013.07.03,12:00:00,99.479,99.834,99.318,99.827,14178,0,1
136,2013.07.03,16:00:00,99.828,100.139,99.792,99.858,5625,0,1
137,2013.07.03,20:00:00,99.861,100.096,99.756,99.808,4246,0,1
138,2013.07.04,00:00:00,99.814,100.002,99.692,99.822,8943,0,1
139,2013.07.04,04:00:00,99.824,99.901,99.493,99.717,8115,0,1
140,2013.07.04,08:00:00,99.719,99.874,99.595,99.831,6664,0,1
141,2013.07.04,12:00:00,99.834,100.159,99.75,100.053,10092,0,1
142,2013.07.04,16:00:00,100.053,100.112,99.832,99.964,2952,0,1
143,2013.07.04,20:00:00,99.964,100.333,99.934,100.243,4184,0,1
144,2013.07.05,00:00:00,100.248,100.458,100.153,100.266,8620,0,1
145,2013.07.05,04:00:00,100.267,100.365,100.225,100.284,7300,0,1
146,2013.07.05,08:00:00,100.284,100.292,99.889,100.005,8142,0,1
147,2013.07.05,12:00:00,100.007,101.133,100.002,100.94,17161,0,1
148,2013.07.05,16:00:00,100.935,101.223,100.92,101.21,6317,0,1
149,2013.07.05,20:00:00,101.205,101.221,101.131,101.18,1012,0,1
150,2013.07.08,00:00:00,101.49,101.491,101.086,101.241,8609,0,1
151,2013.07.08,04:00:00,101.245,101.273,100.93,101.149,9542,0,1
152,2013.07.08,08:00:00,101.149,101.384,101.04,101.24,8207,0,1
153,2013.07.08,12:00:00,101.235,101.25,100.942,101.068,9810,0,1
154,2013.07.08,16:00:00,101.063,101.083,100.787,101.069,5330,0,1
155,2013.07.08,20:00:00,101.073,101.073,100.769,100.94,4514,0,1
156,2013.07.09,00:00:00,100.941,101.245,100.902,101.056,10126,0,1
157,2013.07.09,04:00:00,101.055,101.298,101.015,101.156,9567,0,1
158,2013.07.09,08:00:00,101.153,101.29,101.063,101.129,7581,0,1
159,2013.07.09,12:00:00,101.129,101.264,101.028,101.086,10267,0,1
160,2013.07.09,16:00:00,101.086,101.121,100.828,101.031,5189,0,1
161,2013.07.09,20:00:00,101.03,101.214,101.019,101.183,4062,0,1
162,2013.07.10,00:00:00,101.181,101.19,100.931,100.995,8248,0,1
163,2013.07.10,04:00:00,100.995,101.021,100.291,100.458,12273,0,1
164,2013.07.10,08:00:00,100.457,100.457,99.784,100.181,11137,0,1
165,2013.07.10,12:00:00,100.181,100.495,100.026,100.102,11885,0,1
166,2013.07.10,16:00:00,100.101,100.633,99.613,100.185,11286,0,1
167,2013.07.10,20:00:00,100.185,100.39,98.248,99.055,14133,0,1
168,2013.07.11,00:00:00,99.049,99.624,98.452,98.702,17114,0,1
169,2013.07.11,04:00:00,98.702,99.341,98.273,99.294,17174,0,1
170,2013.07.11,08:00:00,99.294,99.498,99.119,99.306,11096,0,1
171,2013.07.11,12:00:00,99.315,99.428,98.576,98.811,14284,0,1
172,2013.07.11,16:00:00,98.811,99.345,98.689,98.895,7894,0,1
173,2013.07.11,20:00:00,98.893,99.078,98.806,98.827,5044,0,1
174,2013.07.12,00:00:00,98.832,99.32,98.675,99.022,9907,0,1
175,2013.07.12,04:00:00,99.027,99.204,98.804,99.105,8404,0,1
176,2013.07.12,08:00:00,99.105,99.62,98.948,99.55,9366,0,1
177,2013.07.12,12:00:00,99.548,99.693,98.886,99.403,13853,0,1
178,2013.07.12,16:00:00,99.4,99.438,99.253,99.351,5233,0,1
179,2013.07.12,20:00:00,99.348,99.352,99.165,99.169,1062,0,1
180,2013.07.15,00:00:00,99.198,99.344,99.076,99.248,4189,0,1
181,2013.07.15,04:00:00,99.247,99.619,99.232,99.523,4953,0,1
182,2013.07.15,08:00:00,99.521,100.363,99.497,100.31,9642,0,1
183,2013.07.15,12:00:00,100.308,100.483,99.791,100.044,12406,0,1
184,2013.07.15,16:00:00,100.044,100.049,99.704,99.732,5297,0,1
185,2013.07.15,20:00:00,99.732,100.068,99.724,99.954,5120,0,1
186,2013.07.16,00:00:00,99.952,100.029,99.65,99.739,8506,0,1
187,2013.07.16,04:00:00,99.739,99.943,99.48,99.603,8383,0,1
188,2013.07.16,08:00:00,99.606,99.709,99.235,99.414,9682,0,1
189,2013.07.16,12:00:00,99.42,99.652,99.26,99.373,11583,0,1
190,2013.07.16,16:00:00,99.373,99.416,98.893,98.965,6432,0,1
191,2013.07.16,20:00:00,98.967,99.241,98.966,99.114,4816,0,1
192,2013.07.17,00:00:00,99.117,99.543,99.093,99.344,9732,0,1
193,2013.07.17,04:00:00,99.343,99.833,99.279,99.692,7755,0,1
194,2013.07.17,08:00:00,99.696,99.803,99.542,99.756,7134,0,1
195,2013.07.17,12:00:00,99.758,99.945,99.042,99.71,16498,0,1
196,2013.07.17,16:00:00,99.709,99.762,99.324,99.61,7161,0,1
197,2013.07.17,20:00:00,99.61,99.702,99.511,99.578,3759,0,1
198,2013.07.18,00:00:00,99.578,100.059,99.465,100.039,9212,0,1
199,2013.07.18,04:00:00,100.038,100.344,99.952,100.278,10379,0,1
200,2013.07.18,08:00:00,100.279,100.28,99.962,100.151,8570,0,1
201,2013.07.18,12:00:00,100.158,100.653,100.138,100.608,14336,0,1
202,2013.07.18,16:00:00,100.608,100.645,100.431,100.52,5654,0,1
203,2013.07.18,20:00:00,100.523,100.607,100.356,100.561,6394,0,1
