,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,0.95702,0.95783,0.95596,0.95663,5495,0,5
1,2013.06.03,04:00:00,0.95661,0.95697,0.95405,0.95604,8167,0,5
2,2013.06.03,08:00:00,0.95608,0.95936,0.95425,0.95801,9736,0,5
3,2013.06.03,12:00:00,0.95801,0.9624,0.9408,0.94423,18013,0,5
4,2013.06.03,16:00:00,0.94423,0.94747,0.94283,0.94726,9081,0,5
5,2013.06.03,20:00:00,0.94727,0.94807,0.9467,0.94776,4718,0,5
6,2013.06.04,00:00:00,0.94777,0.94934,0.94642,0.94907,5498,0,5
7,2013.06.04,04:00:00,0.94906,0.9512,0.94809,0.94966,9552,0,5
8,2013.06.04,08:00:00,0.94967,0.9499,0.94529,0.94687,10062,0,5
9,2013.06.04,12:00:00,0.94688,0.95201,0.94553,0.94847,16637,0,5
10,2013.06.04,16:00:00,0.94845,0.94977,0.94622,0.94701,7703,0,5
11,2013.06.04,20:00:00,0.94704,0.9484,0.94629,0.94831,4867,0,5
12,2013.06.05,00:00:00,0.94831,0.94938,0.94656,0.94729,6638,0,5
13,2013.06.05,04:00:00,0.94728,0.9486,0.9448,0.94715,10969,0,5
14,2013.06.05,08:00:00,0.94716,0.94926,0.94583,0.94664,10109,0,5
15,2013.06.05,12:00:00,0.94666,0.94781,0.94101,0.94219,18646,0,5
16,2013.06.05,16:00:00,0.94219,0.94328,0.93954,0.94228,9188,0,5
17,2013.06.05,20:00:00,0.94222,0.94243,0.94157,0.94178,5291,0,5
18,2013.06.06,00:00:00,0.94179,0.94384,0.94083,0.94282,8570,0,18
19,2013.06.06,04:00:00,0.94281,0.94281,0.94005,0.94111,12329,0,3
20,2013.06.06,08:00:00,0.9411,0.9418,0.93902,0.94173,15805,0,3
21,2013.06.06,12:00:00,0.94171,0.94321,0.93382,0.93485,22182,0,3
22,2013.06.06,16:00:00,0.93484,0.93633,0.92246,0.92972,20451,0,4
23,2013.06.06,20:00:00,0.92971,0.93045,0.92892,0.93005,8308,0,18
24,2013.06.07,00:00:00,0.93007,0.93036,0.926,0.92731,11190,0,18
25,2013.06.07,04:00:00,0.92732,0.92942,0.9252,0.92894,16004,0,6
26,2013.06.07,08:00:00,0.92895,0.93007,0.92574,0.92649,18677,0,3
27,2013.06.07,12:00:00,0.9265,0.93694,0.92479,0.93497,23656,0,3
28,2013.06.07,16:00:00,0.93495,0.93737,0.93405,0.93498,13011,0,3
29,2013.06.07,20:00:00,0.935,0.93644,0.93477,0.93537,3573,0,18
30,2013.06.10,00:00:00,0.9372,0.93765,0.9342,0.93608,7301,0,18
31,2013.06.10,04:00:00,0.93609,0.93852,0.9358,0.93842,9099,0,3
32,2013.06.10,08:00:00,0.93841,0.9409,0.9361,0.93717,15615,0,3
33,2013.06.10,12:00:00,0.9372,0.94181,0.936,0.93903,19976,0,3
34,2013.06.10,16:00:00,0.93907,0.93927,0.93177,0.9327,15641,0,3
35,2013.06.10,20:00:00,0.9327,0.93424,0.93262,0.93373,6219,0,18
36,2013.06.11,00:00:00,0.93373,0.9349,0.93184,0.93192,8087,0,18
37,2013.06.11,04:00:00,0.93191,0.93352,0.93052,0.9328,12311,0,3
38,2013.06.11,08:00:00,0.93276,0.93308,0.92635,0.92846,19664,0,3
39,2013.06.11,12:00:00,0.92842,0.9307,0.92236,0.92729,22400,0,3
40,2013.06.11,16:00:00,0.92727,0.92917,0.92403,0.92442,16167,0,3
41,2013.06.11,20:00:00,0.92441,0.92569,0.92385,0.92434,7505,0,18
42,2013.06.12,00:00:00,0.92433,0.92541,0.9242,0.92492,6742,0,18
43,2013.06.12,04:00:00,0.92492,0.92691,0.92338,0.92631,10033,0,3
44,2013.06.12,08:00:00,0.9263,0.92838,0.92442,0.92766,17067,0,3
45,2013.06.12,12:00:00,0.92767,0.92868,0.91959,0.9201,19457,0,3
46,2013.06.12,16:00:00,0.9201,0.9231,0.91728,0.92194,17399,0,3
47,2013.06.12,20:00:00,0.92199,0.92207,0.92024,0.92073,7685,0,18
48,2013.06.13,00:00:00,0.92073,0.9208,0.91668,0.91755,10106,0,18
49,2013.06.13,04:00:00,0.91754,0.91823,0.91301,0.91561,13178,0,3
50,2013.06.13,08:00:00,0.91558,0.92181,0.91558,0.92105,17229,0,3
51,2013.06.13,12:00:00,0.92106,0.92582,0.92047,0.92352,21259,0,3
52,2013.06.13,16:00:00,0.92353,0.92408,0.9202,0.92171,15087,0,3
53,2013.06.13,20:00:00,0.92171,0.92364,0.92021,0.92345,8709,0,5
54,2013.06.14,00:00:00,0.92345,0.92392,0.92129,0.92384,6134,0,5
55,2013.06.14,04:00:00,0.92383,0.92568,0.92224,0.92547,7602,0,5
56,2013.06.14,08:00:00,0.92548,0.92566,0.92263,0.92561,8857,0,5
57,2013.06.14,12:00:00,0.92561,0.92698,0.91958,0.92224,16487,0,5
58,2013.06.14,16:00:00,0.92225,0.9234,0.92095,0.92126,8436,0,5
59,2013.06.14,20:00:00,0.92125,0.92166,0.92053,0.92053,756,0,5
60,2013.06.17,00:00:00,0.9216,0.92404,0.92149,0.924,4477,0,5
61,2013.06.17,04:00:00,0.924,0.92496,0.92172,0.92172,5872,0,5
62,2013.06.17,08:00:00,0.92173,0.9243,0.92158,0.92306,7082,0,5
63,2013.06.17,12:00:00,0.92305,0.92715,0.92198,0.92555,11601,0,5
64,2013.06.17,16:00:00,0.92554,0.92692,0.92163,0.922,6745,0,5
65,2013.06.17,20:00:00,0.92199,0.92297,0.92188,0.92224,3823,0,5
66,2013.06.18,00:00:00,0.92223,0.9234,0.92218,0.9231,3933,0,5
67,2013.06.18,04:00:00,0.9231,0.92621,0.92151,0.9218,6426,0,5
68,2013.06.18,08:00:00,0.92181,0.92203,0.91752,0.92066,9890,0,5
69,2013.06.18,12:00:00,0.92067,0.9239,0.9176,0.91866,14532,0,5
70,2013.06.18,16:00:00,0.91865,0.92011,0.91836,0.91978,5517,0,5
71,2013.06.18,20:00:00,0.91974,0.92058,0.91946,0.92025,3800,0,5
72,2013.06.19,00:00:00,0.92025,0.92058,0.91938,0.91947,3874,0,5
73,2013.06.19,04:00:00,0.91948,0.92058,0.91834,0.91991,6239,0,5
