,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,1.35079,1.35426,1.33697,1.34054,86366,0,5
1,2013.06.04,1.34054,1.3591,1.33948,1.35598,89180,0,5
2,2013.06.05,1.356,1.37628,1.35511,1.37439,95868,0,5
3,2013.06.06,1.3744,1.38969,1.37338,1.3875,92931,0,34
4,2013.06.07,1.38765,1.40123,1.3838,1.39088,93155,0,34
5,2013.06.10,1.40178,1.40296,1.39587,1.40135,75560,0,34
6,2013.06.11,1.40134,1.42357,1.40133,1.40716,97101,0,34
7,2013.06.12,1.40717,1.41193,1.38787,1.4068,87326,0,34
8,2013.06.13,1.40681,1.41644,1.38352,1.38979,96556,0,5
9,2013.06.14,1.38979,1.395,1.38114,1.39443,91541,0,5
10,2013.06.17,1.39591,1.4021,1.38248,1.39823,82076,0,5
11,2013.06.18,1.39823,1.41684,1.39548,1.41498,88659,0,5
12,2013.06.19,1.41498,1.43494,1.40179,1.4312,94976,0,5
13,2013.06.20,1.4312,1.44153,1.42681,1.43842,123210,0,5
14,2013.06.21,1.4384,1.43855,1.41994,1.4226,98798,0,5
15,2013.06.24,1.4178,1.43148,1.41236,1.41596,109554,0,5
16,2013.06.25,1.41598,1.42555,1.41019,1.41388,100721,0,5
17,2013.06.26,1.41391,1.41617,1.39368,1.40094,102917,0,5
18,2013.06.27,1.40093,1.40673,1.39527,1.40377,77269,0,34
19,2013.06.28,1.40378,1.42674,1.4035,1.42318,77503,0,34
20,2013.07.01,1.42287,1.42504,1.41152,1.41374,83796,0,5
21,2013.07.02,1.41375,1.4272,1.41261,1.41963,94198,0,5
22,2013.07.03,1.41964,1.43929,1.41241,1.42826,103594,0,5
23,2013.07.04,1.42824,1.43198,1.40644,1.40876,87145,0,5
24,2013.07.05,1.40877,1.418,1.40234,1.41333,80947,0,5
25,2013.07.08,1.41679,1.418,1.40749,1.41005,75221,0,5
26,2013.07.09,1.41011,1.41454,1.3905,1.39554,91013,0,5
27,2013.07.10,1.39554,1.42225,1.38642,1.42006,112545,0,5
28,2013.07.11,1.42002,1.43021,1.40754,1.42779,121236,0,5
29,2013.07.12,1.42785,1.44733,1.4235,1.44328,80346,0,5
30,2013.07.15,1.43729,1.44173,1.43109,1.43642,82448,0,5
