,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
56,2013.08.20,152.709,153.11,151.732,152.431,81912,0,1
57,2013.08.21,152.431,153.638,152.115,152.725,86140,0,1
58,2013.08.22,152.728,154.253,152.648,154.185,79346,0,1
59,2013.08.23,154.187,154.665,153.413,153.653,68893,0,1
60,2013.08.26,153.8,153.971,153.011,153.135,53947,0,1
61,2013.08.27,153.135,153.203,150.5,150.598,83752,0,1
62,2013.08.28,150.598,151.889,150.468,151.758,79919,0,1
63,2013.08.29,151.758,152.659,151.5,152.426,76618,0,1
64,2013.08.30,152.424,152.659,151.677,152.008,67689,0,1
65,2013.09.02,152.674,154.943,152.607,154.785,63022,0,1
66,2013.09.03,154.776,155.438,154.429,154.915,68780,0,1
67,2013.09.04,154.92,155.995,154.756,155.773,65106,0,1
68,2013.09.05,155.774,156.421,155.492,156.07,66831,0,1
69,2013.09.06,156.068,156.086,154.137,154.868,56120,0,1
70,2013.09.09,156.331,156.633,155.502,156.526,60181,0,1
71,2013.09.10,156.525,158.054,156.173,157.76,63582,0,1
72,2013.09.11,157.773,158.539,157.51,157.906,68031,0,1
73,2013.09.12,157.906,158.07,156.695,157.345,67390,0,1
74,2013.09.13,157.345,157.967,157.272,157.713,56910,0,1
75,2013.09.16,157.77,157.928,157.318,157.576,53681,0,1
76,2013.09.17,157.573,158.153,157.493,157.675,55397,0,3
77,2013.09.18,157.673,158.518,157.338,158.384,68908,0,1
78,2013.09.19,158.384,159.975,158.178,159.376,72120,0,1
79,2013.09.20,159.379,159.684,158.917,158.917,55736,0,4
80,2013.09.23,159.027,159.029,158.197,158.364,52691,0,2
81,2013.09.24,158.366,158.957,157.343,157.898,60001,0,1
82,2013.09.25,157.897,158.817,157.369,158.218,59998,0,1
83,2013.09.26,158.216,159.263,158.017,158.633,64649,0,1
84,2013.09.27,158.633,159.087,158.254,158.477,58274,0,2
85,2013.09.30,158.114,159.419,157.392,159.238,69157,0,2
86,2013.10.01,159.242,159.943,158.444,158.572,72398,0,1
87,2013.10.02,158.573,158.712,157.497,158.064,69277,0,1
88,2013.10.03,158.057,158.838,156.704,157.126,68492,0,1
89,2013.10.04,157.124,157.366,155.719,156.012,61829,0,1
90,2013.10.07,156.025,156.174,155.397,155.648,63050,0,2
91,2013.10.08,155.649,156.651,155.486,156.217,65681,0,1
92,2013.10.09,156.217,156.554,154.72,155.561,68273,0,1
93,2013.10.10,155.564,157.022,155.491,156.929,66247,0,1
94,2013.10.11,156.925,157.517,156.659,157.144,55129,0,5
95,2013.10.14,156.975,157.706,156.827,157.528,40920,0,6
96,2013.10.15,157.518,157.578,156.764,157.548,65346,0,1
97,2013.10.16,157.547,158.026,157.159,157.783,67443,0,1
98,2013.10.17,157.791,158.452,157.066,158.257,70260,0,2
99,2013.10.18,158.254,158.672,157.966,157.971,53113,0,2
100,2013.10.21,158.39,158.76,158.193,158.406,49950,0,1
101,2013.10.22,158.409,159.526,158.29,159.277,54309,0,1
102,2013.10.23,159.277,159.355,156.862,157.473,69143,0,2
103,2013.10.24,157.474,158.197,157.048,157.747,67506,0,1
104,2013.10.25,157.747,157.954,157.13,157.432,62455,0,1
105,2013.10.28,157.847,158.299,156.753,156.9,55648,0,1
106,2013.10.29,156.9,157.631,156.846,157.507,64719,0,2
107,2013.10.30,157.508,158.174,157.34,157.878,62593,0,1
108,2013.10.31,157.878,157.954,157.28,157.462,67834,0,1
109,2013.11.01,157.462,157.552,156.822,157.081,59038,0,1
110,2013.11.04,157.285,157.676,157.096,157.442,42367,0,2
111,2013.11.05,157.443,158.247,156.635,158.106,61094,0,1
112,2013.11.06,158.105,158.987,157.926,158.609,53684,0,1
113,2013.11.07,158.605,159.269,157.302,157.952,71822,0,1
114,2013.11.08,157.948,158.852,157.541,158.6,61089,0,1
115,2013.11.11,158.605,158.822,158.338,158.708,50997,0,3
116,2013.11.12,158.702,159.227,158.025,158.3,68669,0,1
117,2013.11.13,158.302,159.422,157.981,159.332,69292,0,1
118,2013.11.14,159.334,161.004,159.318,160.94,75666,0,1
119,2013.11.15,160.937,161.647,160.709,161.432,56522,0,1
120,2013.11.18,161.526,161.636,160.725,160.889,60356,0,1
121,2013.11.19,160.889,161.715,160.402,161.414,68276,0,1
122,2013.11.20,161.411,161.7,160.843,161.528,73568,0,1
123,2013.11.21,161.527,164.066,161.337,163.876,74933,0,1
124,2013.11.22,163.875,164.363,163.505,164.243,59804,0,1
125,2013.11.25,164.596,165.282,163.824,164.007,57356,0,1
126,2013.11.26,163.998,164.383,163.674,164.204,52657,0,1
127,2013.11.27,164.206,166.569,164.187,166.097,61483,0,1
128,2013.11.28,166.097,167.396,166.055,167.374,54208,0,2
129,2013.11.29,167.371,167.89,166.847,167.582,63674,0,1
130,2013.12.02,168.13,168.79,167.941,168.372,64885,0,1
131,2013.12.03,168.372,169.136,167.336,168.168,76714,0,1
132,2013.12.04,168.178,168.385,166.871,167.594,84387,0,2
133,2013.12.05,167.589,167.667,165.869,166.44,82865,0,1
134,2013.12.06,166.443,168.252,166.241,168.182,65173,0,1
135,2013.12.09,168.371,169.775,168.116,169.611,61710,0,1
136,2013.12.10,169.611,170.055,168.672,169.131,65028,0,2
137,2013.12.11,169.139,169.141,167.536,167.867,68882,0,1
138,2013.12.12,167.859,169.388,167.633,169.222,70623,0,1
139,2013.12.13,169.221,169.82,167.709,168.1,62656,0,1
140,2013.12.16,168.143,168.431,167.343,167.985,62354,0,2
141,2013.12.17,167.989,168.165,166.581,167.244,57750,0,1
142,2013.12.18,167.243,171.182,167.236,170.549,73458,0,1
143,2013.12.19,170.549,170.774,169.908,170.673,64511,0,1
