,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
66,2013.09.03,1.64033,1.64437,1.63466,1.6392,47079,0,62
67,2013.09.04,1.63922,1.64243,1.63634,1.63952,45807,0,62
68,2013.09.05,1.63955,1.64354,1.63487,1.63693,44592,0,62
69,2013.09.06,1.63692,1.63717,1.62158,1.62569,41617,0,62
70,2013.09.09,1.62688,1.63202,1.62494,1.62811,36881,0,62
71,2013.09.10,1.62815,1.62958,1.62053,1.62817,40776,0,62
72,2013.09.11,1.62818,1.63653,1.62651,1.63112,43774,0,62
73,2013.09.12,1.63114,1.63503,1.62847,1.63143,44153,0,62
74,2013.09.13,1.63141,1.64392,1.63024,1.64264,40253,0,62
75,2013.09.16,1.64258,1.64536,1.63844,1.63987,38303,0,62
76,2013.09.17,1.6399,1.64445,1.63349,1.63754,38850,0,62
77,2013.09.18,1.63756,1.65185,1.63696,1.6491,50280,0,62
78,2013.09.19,1.64909,1.65,1.6362,1.64577,50603,0,62
79,2013.09.20,1.64574,1.65131,1.64497,1.64859,40065,0,54
80,2013.09.23,1.64875,1.65447,1.6477,1.64946,40200,0,54
81,2013.09.24,1.64949,1.64964,1.63898,1.64818,40025,0,54
82,2013.09.25,1.64826,1.65893,1.6464,1.65828,40980,0,54
83,2013.09.26,1.65831,1.66003,1.6515,1.65324,38777,0,54
84,2013.09.27,1.65328,1.6642,1.65296,1.66246,37458,0,54
85,2013.09.30,1.66635,1.67118,1.66008,1.67115,44354,0,54
86,2013.10.01,1.67113,1.67694,1.66998,1.67269,46261,0,54
87,2013.10.02,1.67271,1.68067,1.67099,1.67618,43171,0,54
88,2013.10.03,1.67619,1.67809,1.66685,1.66863,43015,0,54
89,2013.10.04,1.66864,1.67043,1.64697,1.64749,43123,0,54
90,2013.10.07,1.6515,1.66242,1.6508,1.65925,40561,0,62
91,2013.10.08,1.65926,1.66792,1.65473,1.6666,45355,0,62
92,2013.10.09,1.66665,1.66941,1.65193,1.65824,50725,0,62
93,2013.10.10,1.65825,1.6623,1.65479,1.66183,43627,0,62
94,2013.10.11,1.66182,1.66282,1.64963,1.64985,41555,0,62
