,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
45,2013.06.12,12:00:00,1.3927,1.4057,1.38787,1.40289,19297,0,34
46,2013.06.12,16:00:00,1.40288,1.40577,1.39844,1.40449,18582,0,34
47,2013.06.12,20:00:00,1.40447,1.40948,1.40437,1.4068,8994,0,84
48,2013.06.13,00:00:00,1.40681,1.41644,1.40236,1.41126,13615,0,84
49,2013.06.13,04:00:00,1.41125,1.41628,1.40886,1.41083,15678,0,34
50,2013.06.13,08:00:00,1.41084,1.4125,1.3905,1.39095,18184,0,34
51,2013.06.13,12:00:00,1.39096,1.39444,1.38352,1.38663,21109,0,34
52,2013.06.13,16:00:00,1.38666,1.39001,1.3836,1.38895,15246,0,34
53,2013.06.13,20:00:00,1.38897,1.39011,1.384,1.38979,12724,0,5
54,2013.06.14,00:00:00,1.38979,1.39482,1.3883,1.39311,15919,0,5
55,2013.06.14,04:00:00,1.39307,1.395,1.38672,1.38819,16909,0,5
56,2013.06.14,08:00:00,1.38818,1.39093,1.38243,1.3833,17828,0,5
57,2013.06.14,12:00:00,1.3833,1.39267,1.38114,1.39025,24730,0,5
58,2013.06.14,16:00:00,1.39023,1.39249,1.38848,1.39148,14282,0,5
59,2013.06.14,20:00:00,1.3915,1.39443,1.3913,1.39443,1873,0,5
60,2013.06.17,00:00:00,1.39591,1.39615,1.38519,1.38523,11741,0,5
61,2013.06.17,04:00:00,1.38524,1.38925,1.38248,1.38925,13980,0,5
62,2013.06.17,08:00:00,1.38925,1.38938,1.38628,1.38775,13926,0,5
63,2013.06.17,12:00:00,1.38777,1.39942,1.38655,1.39838,19546,0,5
64,2013.06.17,16:00:00,1.39837,1.4021,1.39637,1.39845,13962,0,5
65,2013.06.17,20:00:00,1.39845,1.40175,1.39668,1.39823,8921,0,5
66,2013.06.18,00:00:00,1.39823,1.40568,1.39548,1.40322,13699,0,5
67,2013.06.18,04:00:00,1.40323,1.41103,1.40164,1.4103,15680,0,5
68,2013.06.18,08:00:00,1.41022,1.41684,1.41022,1.41401,18434,0,5
69,2013.06.18,12:00:00,1.414,1.41653,1.40924,1.41226,22002,0,5
70,2013.06.18,16:00:00,1.41228,1.41367,1.40939,1.4131,10780,0,5
71,2013.06.18,20:00:00,1.41317,1.4152,1.41062,1.41498,8064,0,5
72,2013.06.19,00:00:00,1.41498,1.41924,1.41188,1.4127,12811,0,5
73,2013.06.19,04:00:00,1.41272,1.41364,1.40771,1.40934,14488,0,5
74,2013.06.19,08:00:00,1.40936,1.41204,1.40773,1.41116,15569,0,5
75,2013.06.19,12:00:00,1.41117,1.41168,1.40374,1.40561,16529,0,5
76,2013.06.19,16:00:00,1.40565,1.42602,1.40179,1.42598,20907,0,5
77,2013.06.19,20:00:00,1.42596,1.43494,1.4257,1.4312,14672,0,5
78,2013.06.20,00:00:00,1.4312,1.4358,1.42681,1.43322,18577,0,5
79,2013.06.20,04:00:00,1.43322,1.43892,1.43143,1.43803,19748,0,5
80,2013.06.20,08:00:00,1.438,1.44153,1.43143,1.43366,25208,0,5
81,2013.06.20,12:00:00,1.43359,1.43885,1.43114,1.43826,26747,0,5
82,2013.06.20,16:00:00,1.43826,1.44032,1.43408,1.43688,21310,0,5
83,2013.06.20,20:00:00,1.43688,1.439,1.43586,1.43842,11620,0,5
84,2013.06.21,00:00:00,1.4384,1.43855,1.43097,1.43457,15301,0,5
85,2013.06.21,04:00:00,1.43458,1.4365,1.43051,1.43287,17406,0,5
86,2013.06.21,08:00:00,1.43283,1.43427,1.42889,1.43029,18083,0,5
87,2013.06.21,12:00:00,1.43029,1.43295,1.42478,1.42676,26517,0,5
88,2013.06.21,16:00:00,1.42674,1.42716,1.42014,1.4211,18664,0,5
89,2013.06.21,20:00:00,1.42112,1.42426,1.41994,1.4226,2827,0,5
