,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,80.145,80.755,79.631,80.647,73505,0,11
1,2013.06.04,80.644,80.728,79.7,80.339,68017,0,11
2,2013.06.05,80.339,80.74,78.516,78.87,79368,0,11
3,2013.06.06,78.868,79.077,77.344,77.688,94640,0,38
4,2013.06.07,77.674,77.896,75.752,76.817,107402,0,38
5,2013.06.10,76.979,78.389,76.746,78.041,80453,0,38
6,2013.06.11,78.04,78.062,75.082,75.85,103263,0,38
7,2013.06.12,75.844,77.484,75.78,76.284,94451,0,38
8,2013.06.13,76.283,77.526,74.439,77.185,108765,0,11
9,2013.06.14,77.185,77.418,75.43,75.43,74489,0,11
10,2013.06.17,75.962,76.979,75.394,75.604,57474,0,11
11,2013.06.18,75.599,76.573,75.475,76.258,62382,0,11
12,2013.06.19,76.26,76.807,75.812,75.993,70503,0,11
13,2013.06.20,75.994,76.765,75.065,75.304,94509,0,11
14,2013.06.21,75.303,76.242,75.037,75.748,70636,0,11
15,2013.06.24,76.367,76.424,75.311,75.915,83295,0,11
16,2013.06.25,75.915,76.045,75.045,75.828,82099,0,11
17,2013.06.26,75.829,76.652,75.284,76.014,76548,0,11
18,2013.06.27,76.013,77.112,75.885,76.762,73623,0,38
19,2013.06.28,76.761,77.29,76.455,76.584,71509,0,38
20,2013.07.01,77.03,78.049,76.775,77.965,55370,0,11
21,2013.07.02,77.965,78.165,77.402,78.035,64442,0,11
22,2013.07.03,78.03,78.25,76.888,77.776,75475,0,11
23,2013.07.04,77.795,78.62,77.386,78.475,59311,0,11
24,2013.07.05,78.481,78.825,77.534,77.945,58225,0,11
25,2013.07.08,78.135,79.021,77.915,78.58,53051,0,11
26,2013.07.09,78.58,79.74,78.423,79.19,60259,0,11
27,2013.07.10,79.188,79.601,77.78,78.399,82077,0,11
28,2013.07.11,78.39,78.908,76.682,77.48,81726,0,11
29,2013.07.12,77.485,78.04,76.975,76.982,55310,0,11
30,2013.07.15,77.387,78.137,77.234,77.955,55695,0,11
31,2013.07.16,77.955,78.473,77.902,78.3,63123,0,11
32,2013.07.17,78.3,78.876,78.021,78.71,69999,0,11
33,2013.07.18,78.705,79.537,78.466,79.495,65692,0,3
34,2013.07.19,79.495,80.074,78.985,79.281,61833,0,4
35,2013.07.22,79.64,79.643,78.972,79.195,63786,0,8
36,2013.07.23,79.195,79.83,79.075,79.55,62581,0,5
37,2013.07.24,79.55,80.055,79.21,79.925,65576,0,4
38,2013.07.25,79.928,80.423,79.695,79.986,68314,0,5
39,2013.07.26,79.99,80.205,79.041,79.255,58431,0,2
40,2013.07.29,79.115,79.325,78.316,78.683,56898,0,1
41,2013.07.30,78.68,78.786,78.022,78.32,61581,0,1
42,2013.07.31,78.32,78.37,77.54,77.897,71124,0,3
43,2013.08.01,77.899,78.689,77.75,78.545,62711,0,5
44,2013.08.02,78.55,78.715,77.124,77.124,57395,0,2
45,2013.08.05,76.827,77.286,76.365,76.976,53325,0,4
46,2013.08.06,76.978,77.554,76.635,76.855,62794,0,3
47,2013.08.07,76.855,77.242,76.355,76.873,70178,0,1
48,2013.08.08,76.863,77.557,76.525,77.35,67043,0,1
49,2013.08.09,77.35,77.613,76.97,77.27,50708,0,9
50,2013.08.12,77.07,77.794,77.016,77.55,53780,0,4
51,2013.08.13,77.548,78.491,77.496,78.282,61715,0,1
52,2013.08.14,78.287,78.951,78.105,78.721,58042,0,7
53,2013.08.15,78.718,79.391,78.329,78.353,72215,0,1
54,2013.08.16,78.35,79.305,78.34,78.955,56649,0,2
55,2013.08.19,79.275,79.88,78.598,78.66,55716,0,5
56,2013.08.20,78.66,78.823,77.224,77.415,68918,0,3
57,2013.08.21,77.415,77.63,76.542,76.683,69642,0,4
58,2013.08.22,76.685,77.572,76.426,77.471,68801,0,7
59,2013.08.23,77.468,77.658,76.778,76.955,58359,0,6
60,2013.08.26,76.984,77.58,76.885,77.04,44771,0,2
61,2013.08.27,77.046,77.085,75.086,75.206,63484,0,5
62,2013.08.28,75.206,76.497,75.19,76.368,60007,0,4
63,2013.08.29,76.366,76.739,76.082,76.296,56891,0,7
64,2013.08.30,76.298,76.512,75.705,75.727,44612,0,8
65,2013.09.02,76.387,77.92,76.365,77.796,44401,0,1
66,2013.09.03,77.789,78.151,77.21,77.64,55393,0,4
67,2013.09.04,77.64,79.013,77.56,78.718,50279,0,8
68,2013.09.05,78.72,79.145,78.358,78.945,50590,0,7
69,2013.09.06,78.94,79.476,78.777,79.195,46027,0,2
70,2013.09.09,79.78,79.967,79.265,79.926,42332,0,5
71,2013.09.10,79.925,81.101,79.788,80.76,47563,0,5
72,2013.09.11,80.765,81.333,80.52,81.285,48920,0,5
73,2013.09.12,81.281,81.377,80.606,80.955,48001,0,1
74,2013.09.13,80.95,81.278,80.637,80.71,37691,0,11
75,2013.09.16,81.092,81.23,80.804,81.055,40625,0,9
76,2013.09.17,81.055,81.869,80.945,81.542,38779,0,10
77,2013.09.18,81.542,82.445,81.172,82.314,49556,0,1
78,2013.09.19,82.315,83.666,82.169,83.333,53617,0,5
79,2013.09.20,83.333,83.488,82.985,82.995,39365,0,9
80,2013.09.23,83.01,83.078,82.509,82.525,36343,0,10
81,2013.09.24,82.526,82.585,81.29,81.405,43905,0,7
82,2013.09.25,81.405,81.578,80.919,81.135,41440,0,1
83,2013.09.26,81.135,82.162,81.025,81.878,46506,0,10
84,2013.09.27,81.878,82.076,81.001,81.188,38658,0,7
85,2013.09.30,80.83,81.908,80.672,81.625,46755,0,1
86,2013.10.01,81.62,81.932,80.808,80.877,51196,0,3
87,2013.10.02,80.875,81.177,79.875,80.906,51836,0,3
88,2013.10.03,80.905,81.496,80.336,80.569,49014,0,8
89,2013.10.04,80.568,81.155,80.454,81.025,38601,0,10
90,2013.10.07,80.861,80.913,80.08,80.206,45238,0,4
91,2013.10.08,80.209,80.954,80.032,80.565,49298,0,9
92,2013.10.09,80.565,80.97,80.376,80.884,47263,0,4
93,2013.10.10,80.885,81.497,80.405,81.267,49424,0,6
94,2013.10.11,81.26,82.195,81.233,81.962,39674,0,8
95,2013.10.14,81.805,82.585,81.657,82.484,31190,0,6
96,2013.10.15,82.479,82.87,82.05,82.87,46054,0,5
97,2013.10.16,82.87,83.41,82.36,83.394,44134,0,5
98,2013.10.17,83.398,83.467,82.67,82.888,49635,0,8
99,2013.10.18,82.887,83.22,82.803,83.019,32616,0,9
100,2013.10.21,83.182,83.314,82.84,83.005,28293,0,6
101,2013.10.22,83.01,83.97,82.776,83.541,30480,0,2
102,2013.10.23,83.54,83.601,81.345,81.995,45856,0,1
103,2013.10.24,81.991,82.36,80.983,81.195,38772,0,5
104,2013.10.25,81.195,81.2,80.523,80.61,34582,0,5
105,2013.10.28,80.948,81.343,80.63,80.67,30864,0,1
106,2013.10.29,80.665,81.196,80.47,80.969,36687,0,1
107,2013.10.30,80.979,81.6,80.616,81.225,37994,0,1
108,2013.10.31,81.226,81.625,80.924,81.078,39984,0,1
109,2013.11.01,81.074,81.615,80.781,81.485,30571,0,2
110,2013.11.04,81.662,82.013,81.502,81.697,28081,0,4
111,2013.11.05,81.696,82.486,81.242,82.344,37601,0,2
112,2013.11.06,82.346,83.03,82.209,82.587,31176,0,1
113,2013.11.07,82.585,83.025,81.225,81.744,46539,0,2
114,2013.11.08,81.742,82.18,81.525,81.605,39445,0,3
