,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
34,2013.07.19,0.82045,0.82842,0.81911,0.82005,35244,0,5
35,2013.07.22,0.8216,0.82514,0.81868,0.82421,36722,0,1
36,2013.07.23,0.82421,0.82674,0.8194,0.82268,36505,0,6
37,2013.07.24,0.82267,0.82494,0.81577,0.82151,41722,0,3
38,2013.07.25,0.82148,0.83238,0.8214,0.82911,37852,0,3
39,2013.07.26,0.82915,0.83216,0.82817,0.82963,28164,0,7
40,2013.07.29,0.82933,0.83131,0.82222,0.82364,30757,0,2
41,2013.07.30,0.82361,0.82453,0.8191,0.82306,36835,0,1
42,2013.07.31,0.82304,0.8236,0.8152,0.81879,42393,0,1
43,2013.08.01,0.81882,0.82069,0.81046,0.81741,36097,0,4
44,2013.08.02,0.81745,0.82128,0.81026,0.81026,33278,0,5
45,2013.08.05,0.80678,0.81453,0.8048,0.81161,30128,0,3
46,2013.08.06,0.81164,0.82117,0.81052,0.81915,29940,0,7
47,2013.08.07,0.81918,0.83325,0.81895,0.82954,34718,0,1
48,2013.08.08,0.82943,0.83408,0.82486,0.82569,32964,0,1
49,2013.08.09,0.82572,0.8302,0.82469,0.82663,27209,0,4
50,2013.08.12,0.82523,0.8287,0.82186,0.82294,27214,0,5
51,2013.08.13,0.82287,0.82653,0.82068,0.82545,31798,0,8
52,2013.08.14,0.82545,0.83241,0.82368,0.83183,29663,0,5
53,2013.08.15,0.83178,0.83528,0.82757,0.83162,36528,0,6
54,2013.08.16,0.83166,0.84092,0.82984,0.83688,32609,0,1
55,2013.08.19,0.83881,0.8427,0.83325,0.83381,27946,0,4
56,2013.08.20,0.8338,0.83471,0.8244,0.82699,36595,0,4
57,2013.08.21,0.827,0.82865,0.82088,0.82218,45466,0,5
58,2013.08.22,0.82219,0.82704,0.81912,0.82408,50631,0,12
59,2013.08.23,0.82403,0.82633,0.81814,0.81833,43086,0,14
60,2013.08.26,0.81914,0.82809,0.81879,0.82331,25708,0,2
61,2013.08.27,0.82335,0.82364,0.81246,0.81445,32157,0,6
62,2013.08.28,0.81442,0.82109,0.81178,0.82005,34333,0,5
63,2013.08.29,0.82005,0.82205,0.8148,0.81797,27984,0,5
64,2013.08.30,0.81799,0.82078,0.81273,0.81308,23517,0,6
65,2013.09.02,0.81808,0.82658,0.81703,0.82457,22601,0,7
66,2013.09.03,0.82454,0.82659,0.81943,0.82167,29382,0,5
67,2013.09.04,0.8217,0.83154,0.82123,0.82868,27950,0,5
68,2013.09.05,0.82866,0.8305,0.82442,0.82801,23128,0,3
69,2013.09.06,0.82798,0.83434,0.82774,0.83226,23410,0,2
70,2013.09.09,0.83074,0.83297,0.82862,0.83141,20417,0,7
71,2013.09.10,0.83138,0.8365,0.83096,0.83373,22629,0,7
72,2013.09.11,0.83371,0.84019,0.83154,0.83991,23013,0,6
73,2013.09.12,0.83989,0.84205,0.83716,0.83942,24361,0,2
74,2013.09.13,0.83942,0.84393,0.83697,0.84088,19476,0,8
75,2013.09.16,0.8448,0.84683,0.84175,0.84411,21499,0,8
76,2013.09.17,0.8441,0.84953,0.84282,0.84692,19908,0,7
77,2013.09.18,0.84686,0.85896,0.84391,0.85717,27886,0,9
78,2013.09.19,0.85717,0.86103,0.85536,0.86082,26090,0,7
79,2013.09.20,0.86086,0.86359,0.85968,0.86137,19035,0,2
80,2013.09.23,0.86103,0.86359,0.85944,0.85969,20082,0,2
81,2013.09.24,0.85979,0.85979,0.84874,0.84994,22713,0,9
82,2013.09.25,0.8499,0.85129,0.84722,0.85085,21357,0,3
83,2013.09.26,0.85088,0.85575,0.84998,0.85361,21045,0,9
84,2013.09.27,0.85362,0.85781,0.84969,0.85212,18463,0,5
85,2013.09.30,0.85233,0.85689,0.85103,0.85654,23300,0,6
86,2013.10.01,0.85651,0.85869,0.85059,0.85374,24582,0,8
87,2013.10.02,0.85374,0.86206,0.84768,0.85821,25174,0,3
88,2013.10.03,0.85818,0.86122,0.85472,0.85566,22447,0,3
89,2013.10.04,0.85566,0.86086,0.85561,0.85572,17906,0,11
90,2013.10.07,0.85609,0.85903,0.85338,0.85562,21460,0,9
91,2013.10.08,0.85564,0.86172,0.85381,0.86091,24020,0,2
92,2013.10.09,0.86098,0.86412,0.85803,0.86229,23228,0,7
93,2013.10.10,0.86223,0.8633,0.85655,0.86119,24405,0,6
94,2013.10.11,0.86118,0.86795,0.86005,0.86041,20512,0,7
95,2013.10.14,0.8624,0.86731,0.86124,0.86568,18742,0,4
96,2013.10.15,0.86566,0.87215,0.86525,0.87168,22621,0,5
97,2013.10.16,0.87171,0.87441,0.86862,0.87053,24182,0,4
98,2013.10.17,0.87068,0.87742,0.86858,0.87122,26068,0,3
99,2013.10.18,0.87119,0.87622,0.86983,0.87377,17980,0,10
100,2013.10.21,0.87418,0.8751,0.86852,0.87139,20537,0,4
101,2013.10.22,0.87139,0.87767,0.86867,0.8761,21875,0,2
102,2013.10.23,0.87607,0.87625,0.8632,0.87372,30902,0,1
103,2013.10.24,0.87368,0.87587,0.86686,0.86862,27079,0,8
104,2013.10.25,0.86863,0.86938,0.86428,0.86462,22654,0,6
105,2013.10.28,0.86644,0.87012,0.86403,0.86449,20894,0,1
106,2013.10.29,0.86446,0.8658,0.86005,0.86343,24055,0,1
107,2013.10.30,0.86346,0.86772,0.85948,0.86433,27035,0,1
108,2013.10.31,0.86435,0.86809,0.85988,0.86101,28321,0,5
109,2013.11.01,0.86105,0.86391,0.85713,0.86087,20559,0,2
110,2013.11.04,0.8615,0.8648,0.85996,0.86366,21797,0,6
111,2013.11.05,0.86367,0.8753,0.86177,0.87385,22999,0,3
112,2013.11.06,0.87388,0.87821,0.87163,0.87205,19443,0,6
113,2013.11.07,0.87202,0.8746,0.86817,0.87027,27481,0,1
114,2013.11.08,0.87022,0.87286,0.86292,0.86367,24984,0,1
115,2013.11.11,0.86701,0.86821,0.86163,0.86332,17888,0,9
116,2013.11.12,0.86333,0.86476,0.85725,0.86175,24722,0,2
117,2013.11.13,0.86172,0.87258,0.86034,0.86958,23602,0,4
118,2013.11.14,0.86951,0.87092,0.86421,0.86544,26108,0,3
119,2013.11.15,0.86545,0.8725,0.86528,0.86969,16912,0,2
120,2013.11.18,0.87,0.87707,0.86688,0.86836,21357,0,7
121,2013.11.19,0.86837,0.87747,0.86701,0.87459,22292,0,1
122,2013.11.20,0.87462,0.87471,0.8624,0.86478,25829,0,4
123,2013.11.21,0.86476,0.86703,0.85844,0.86593,29946,0,11
124,2013.11.22,0.86594,0.86756,0.85597,0.86012,28311,0,1
125,2013.11.25,0.86596,0.86808,0.86356,0.86713,33032,0,1
126,2013.11.26,0.86706,0.87044,0.86026,0.86284,33882,0,2
127,2013.11.27,0.86291,0.86532,0.86001,0.86286,29765,0,2
128,2013.11.28,0.86286,0.86546,0.85782,0.85915,20897,0,4
129,2013.11.29,0.85919,0.86513,0.85665,0.86122,22158,0,5
