,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,96.663,96.9,96.416,96.855,15846,0,5
1,2013.06.03,04:00:00,96.853,96.881,96.47,96.56,15883,0,5
2,2013.06.03,08:00:00,96.557,97.014,96.402,96.956,15677,0,5
3,2013.06.03,12:00:00,96.956,96.988,96.251,96.894,22977,0,5
4,2013.06.03,16:00:00,96.893,97.118,96.72,97.09,16185,0,5
5,2013.06.03,20:00:00,97.09,97.365,97.026,97.237,9371,0,5
6,2013.06.04,00:00:00,97.234,97.363,96.662,96.829,16362,0,5
7,2013.06.04,04:00:00,96.828,97.269,96.614,96.999,19159,0,5
8,2013.06.04,08:00:00,96.99,97.113,96.674,96.86,15964,0,5
9,2013.06.04,12:00:00,96.86,97.109,96.469,96.533,21023,0,5
10,2013.06.04,16:00:00,96.531,96.598,96.152,96.486,14069,0,5
11,2013.06.04,20:00:00,96.485,96.802,96.405,96.655,6778,0,5
12,2013.06.05,00:00:00,96.653,96.751,96.219,96.454,17887,0,5
13,2013.06.05,04:00:00,96.457,96.5,95.228,95.559,22462,0,5
14,2013.06.05,08:00:00,95.559,95.697,95.052,95.234,16166,0,5
15,2013.06.05,12:00:00,95.235,95.448,94.409,94.515,24140,0,5
16,2013.06.05,16:00:00,94.516,94.707,94.223,94.538,15783,0,5
17,2013.06.05,20:00:00,94.547,94.67,94.378,94.38,7855,0,5
18,2013.06.06,00:00:00,94.379,94.411,93.697,93.725,14980,0,4600
19,2013.06.06,04:00:00,93.727,94.045,93.434,94.016,18233,0,1400
20,2013.06.06,08:00:00,94.016,94.302,93.957,94.124,17570,0,1400
21,2013.06.06,12:00:00,94.125,94.28,93.651,93.728,24443,0,1400
22,2013.06.06,16:00:00,93.728,93.951,92.546,93.415,25290,0,1400
23,2013.06.06,20:00:00,93.416,93.443,92.814,92.814,12263,0,4600
24,2013.06.07,00:00:00,92.827,93.095,91.22,91.941,19344,0,4600
25,2013.06.07,04:00:00,91.94,92.323,90.824,92.025,26022,0,1400
26,2013.06.07,08:00:00,92.024,92.275,90.797,90.826,23254,0,1400
27,2013.06.07,12:00:00,90.83,92.602,90.526,92.334,28503,0,1400
28,2013.06.07,16:00:00,92.335,92.638,91.955,92.479,19489,0,1400
29,2013.06.07,20:00:00,92.48,92.743,92.359,92.599,5187,0,4600
30,2013.06.10,00:00:00,92.536,92.766,92.198,92.238,14326,0,4600
31,2013.06.10,04:00:00,92.237,92.895,92.237,92.604,14693,0,1400
32,2013.06.10,08:00:00,92.605,93.198,92.496,93.139,17878,0,1400
33,2013.06.10,12:00:00,93.138,93.732,93.072,93.601,22914,0,1400
34,2013.06.10,16:00:00,93.601,93.79,93.214,93.517,19343,0,1400
35,2013.06.10,20:00:00,93.518,93.685,93.273,93.466,8591,0,4600
36,2013.06.11,00:00:00,93.467,93.492,92.323,92.61,14621,0,4600
37,2013.06.11,04:00:00,92.606,92.72,92.271,92.481,20637,0,1400
38,2013.06.11,08:00:00,92.478,92.478,90.183,90.569,26269,0,1400
39,2013.06.11,12:00:00,90.567,91.126,90.42,91.042,25855,0,1400
40,2013.06.11,16:00:00,91.043,91.569,89.994,90.777,22833,0,1400
41,2013.06.11,20:00:00,90.774,91.11,90.411,90.898,12319,0,4600
42,2013.06.12,00:00:00,90.897,91.516,90.785,91.148,13765,0,4600
43,2013.06.12,04:00:00,91.149,91.444,90.943,91.406,16720,0,1400
44,2013.06.12,08:00:00,91.407,92.493,91.407,92.175,22144,0,1400
45,2013.06.12,12:00:00,92.176,92.351,90.753,90.935,23561,0,1400
46,2013.06.12,16:00:00,90.936,91.467,90.461,90.756,23451,0,1400
47,2013.06.12,20:00:00,90.759,91.047,90.517,90.918,11905,0,4600
48,2013.06.13,00:00:00,90.917,90.917,89.238,89.692,18538,0,4600
49,2013.06.13,04:00:00,89.69,89.788,88.94,89.149,21992,0,1400
50,2013.06.13,08:00:00,89.146,90.454,88.937,90.411,22483,0,1400
51,2013.06.13,12:00:00,90.41,90.726,89.778,90.348,25248,0,1400
52,2013.06.13,16:00:00,90.347,91.196,90.303,91.093,20608,0,1400
53,2013.06.13,20:00:00,91.096,92.296,91.085,91.862,15340,0,5
54,2013.06.14,00:00:00,91.86,91.86,90.532,90.945,22489,0,5
55,2013.06.14,04:00:00,90.943,91.444,90.813,91.279,19594,0,5
56,2013.06.14,08:00:00,91.279,91.45,90.988,91.395,16014,0,5
57,2013.06.14,12:00:00,91.397,91.878,90.265,90.447,23633,0,5
58,2013.06.14,16:00:00,90.447,90.655,90.021,90.477,17061,0,5
59,2013.06.14,20:00:00,90.478,90.493,89.952,89.952,2151,0,5
60,2013.06.17,00:00:00,90.235,91.177,90.14,91.166,14553,0,5
61,2013.06.17,04:00:00,91.168,91.553,91.002,91.253,13693,0,5
62,2013.06.17,08:00:00,91.252,91.367,91.022,91.067,11722,0,5
63,2013.06.17,12:00:00,91.075,91.295,90.371,90.489,18268,0,5
64,2013.06.17,16:00:00,90.488,90.749,90.166,90.354,15100,0,5
65,2013.06.17,20:00:00,90.354,90.55,90.068,90.366,10528,0,5
66,2013.06.18,00:00:00,90.366,90.728,89.961,90.264,17581,0,5
67,2013.06.18,04:00:00,90.264,90.348,89.83,90.16,14775,0,5
68,2013.06.18,08:00:00,90.165,90.277,89.843,90.121,14917,0,5
69,2013.06.18,12:00:00,90.124,90.641,90.077,90.363,19442,0,5
70,2013.06.18,16:00:00,90.362,90.599,90.248,90.334,10901,0,5
71,2013.06.18,20:00:00,90.333,90.66,90.289,90.462,8537,0,5
72,2013.06.19,00:00:00,90.462,90.498,90.058,90.302,14826,0,5
73,2013.06.19,04:00:00,90.302,90.554,90.138,90.285,14403,0,5
74,2013.06.19,08:00:00,90.286,90.458,90.145,90.298,13333,0,5
75,2013.06.19,12:00:00,90.295,90.903,90.242,90.802,14253,0,5
76,2013.06.19,16:00:00,90.795,91.178,89.909,89.913,20504,0,5
77,2013.06.19,20:00:00,89.913,89.961,89.245,89.618,15741,0,5
78,2013.06.20,00:00:00,89.616,89.867,89.097,89.844,21365,0,5
79,2013.06.20,04:00:00,89.843,90.363,89.461,90.199,21726,0,5
80,2013.06.20,08:00:00,90.199,90.328,89.802,90.179,22760,0,5
81,2013.06.20,12:00:00,90.197,90.27,89.638,90.19,24237,0,5
82,2013.06.20,16:00:00,90.19,90.431,89.198,89.593,19726,0,5
83,2013.06.20,20:00:00,89.59,89.712,89.163,89.205,12486,0,5
