,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,0.96195,0.96352,0.95981,0.96255,10385,0,5
1,2013.06.03,04:00:00,0.96256,0.96509,0.96174,0.9635,10153,0,5
2,2013.06.03,08:00:00,0.96349,0.96625,0.96218,0.96609,10414,0,5
3,2013.06.03,12:00:00,0.96609,0.97743,0.96335,0.97689,16398,0,5
4,2013.06.03,16:00:00,0.97688,0.97916,0.97492,0.97599,10292,0,5
5,2013.06.03,20:00:00,0.97598,0.97715,0.97482,0.97494,6148,0,5
6,2013.06.04,00:00:00,0.97494,0.97599,0.97053,0.97119,10380,0,5
7,2013.06.04,04:00:00,0.97119,0.97377,0.96648,0.96716,13159,0,5
8,2013.06.04,08:00:00,0.96726,0.9686,0.96493,0.96684,11792,0,5
9,2013.06.04,12:00:00,0.96685,0.96858,0.96331,0.96384,15560,0,5
10,2013.06.04,16:00:00,0.96385,0.96479,0.96102,0.96453,9972,0,5
11,2013.06.04,20:00:00,0.96457,0.96551,0.96392,0.96392,4680,0,5
12,2013.06.05,00:00:00,0.96391,0.96533,0.96045,0.96448,11273,0,5
13,2013.06.05,04:00:00,0.96447,0.96569,0.95574,0.95818,14455,0,5
14,2013.06.05,08:00:00,0.95815,0.95878,0.9552,0.9573,10890,0,5
15,2013.06.05,12:00:00,0.95732,0.96088,0.95111,0.95321,16554,0,5
16,2013.06.05,16:00:00,0.9532,0.95427,0.95122,0.95375,9215,0,5
17,2013.06.05,20:00:00,0.95374,0.95471,0.95206,0.95215,5480,0,5
18,2013.06.06,00:00:00,0.95214,0.95304,0.94482,0.94518,10021,0,28
19,2013.06.06,04:00:00,0.9452,0.94788,0.94342,0.94783,14467,0,8
20,2013.06.06,08:00:00,0.94783,0.95155,0.94742,0.95025,15296,0,8
21,2013.06.06,12:00:00,0.95024,0.95373,0.94728,0.95291,20501,0,8
22,2013.06.06,16:00:00,0.95289,0.96716,0.95119,0.96092,18723,0,8
23,2013.06.06,20:00:00,0.96093,0.96205,0.95455,0.95465,6910,0,28
24,2013.06.07,00:00:00,0.95469,0.9568,0.94648,0.95242,11449,0,28
25,2013.06.07,04:00:00,0.9524,0.9524,0.94788,0.95036,16082,0,8
26,2013.06.07,08:00:00,0.95037,0.9529,0.94764,0.9499,16192,0,8
27,2013.06.07,12:00:00,0.94989,0.95724,0.94275,0.94833,21398,0,8
28,2013.06.07,16:00:00,0.94835,0.95116,0.94626,0.94932,13201,0,8
29,2013.06.07,20:00:00,0.94933,0.9508,0.94891,0.94946,3099,0,28
30,2013.06.10,00:00:00,0.94165,0.94563,0.9413,0.9417,7212,0,28
31,2013.06.10,04:00:00,0.94169,0.94384,0.94067,0.94144,10307,0,8
32,2013.06.10,08:00:00,0.94144,0.94406,0.93987,0.94314,14490,0,8
33,2013.06.10,12:00:00,0.94318,0.94583,0.94105,0.94427,18586,0,8
34,2013.06.10,16:00:00,0.94426,0.94802,0.94383,0.94749,15120,0,8
35,2013.06.10,20:00:00,0.94748,0.94789,0.94545,0.94554,5725,0,28
36,2013.06.11,00:00:00,0.94555,0.94556,0.93814,0.94343,9627,0,28
37,2013.06.11,04:00:00,0.9434,0.94399,0.93971,0.94022,14039,0,8
38,2013.06.11,08:00:00,0.94019,0.94019,0.93257,0.9333,20464,0,8
39,2013.06.11,12:00:00,0.9333,0.94115,0.93272,0.94003,21255,0,8
40,2013.06.11,16:00:00,0.94004,0.94476,0.9396,0.94428,16293,0,8
41,2013.06.11,20:00:00,0.94426,0.94734,0.94218,0.94581,7862,0,28
42,2013.06.12,00:00:00,0.94579,0.94956,0.94416,0.94493,8615,0,28
43,2013.06.12,04:00:00,0.94495,0.94731,0.94151,0.94605,12582,0,8
44,2013.06.12,08:00:00,0.94604,0.95605,0.94585,0.95348,17892,0,8
45,2013.06.12,12:00:00,0.95349,0.95632,0.94748,0.95047,18279,0,8
46,2013.06.12,16:00:00,0.95048,0.95415,0.94842,0.94862,15018,0,8
47,2013.06.12,20:00:00,0.94864,0.94905,0.94572,0.94777,7386,0,28
48,2013.06.13,00:00:00,0.94776,0.95198,0.94291,0.94614,11047,0,28
49,2013.06.13,04:00:00,0.94613,0.95002,0.9428,0.94747,14541,0,8
50,2013.06.13,08:00:00,0.94744,0.95847,0.94553,0.95802,16935,0,8
51,2013.06.13,12:00:00,0.95803,0.961,0.95414,0.95899,19823,0,8
52,2013.06.13,16:00:00,0.95899,0.96211,0.95878,0.96041,13601,0,8
53,2013.06.13,20:00:00,0.96039,0.96565,0.96018,0.96112,9787,0,5
54,2013.06.14,00:00:00,0.96111,0.96211,0.95772,0.95809,11763,0,5
55,2013.06.14,04:00:00,0.95808,0.96207,0.95671,0.95971,12369,0,5
56,2013.06.14,08:00:00,0.95987,0.96302,0.95826,0.96197,12121,0,5
57,2013.06.14,12:00:00,0.96198,0.96552,0.95756,0.95871,17441,0,5
58,2013.06.14,16:00:00,0.95872,0.96016,0.95718,0.95904,9948,0,5
59,2013.06.14,20:00:00,0.95904,0.95925,0.95673,0.95691,1263,0,5
60,2013.06.17,00:00:00,0.95661,0.96216,0.95642,0.96154,9022,0,5
61,2013.06.17,04:00:00,0.96153,0.9641,0.96028,0.96062,9178,0,5
62,2013.06.17,08:00:00,0.96063,0.96208,0.96042,0.96112,8438,0,5
63,2013.06.17,12:00:00,0.96112,0.96189,0.95258,0.95386,12011,0,5
64,2013.06.17,16:00:00,0.95389,0.95733,0.95091,0.95664,9113,0,5
65,2013.06.17,20:00:00,0.95664,0.95669,0.95311,0.95551,6407,0,5
66,2013.06.18,00:00:00,0.95552,0.95737,0.95,0.95154,10312,0,5
67,2013.06.18,04:00:00,0.95155,0.95229,0.9467,0.94818,11091,0,5
68,2013.06.18,08:00:00,0.94818,0.94874,0.944,0.94573,10840,0,5
69,2013.06.18,12:00:00,0.94577,0.94944,0.94503,0.94921,13757,0,5
70,2013.06.18,16:00:00,0.94918,0.95154,0.94777,0.94788,7535,0,5
71,2013.06.18,20:00:00,0.94786,0.94899,0.9462,0.9464,5808,0,5
72,2013.06.19,00:00:00,0.94641,0.94841,0.94344,0.94778,9813,0,5
73,2013.06.19,04:00:00,0.94779,0.95145,0.9471,0.95008,9878,0,5
74,2013.06.19,08:00:00,0.95008,0.95179,0.94825,0.94948,10178,0,5
75,2013.06.19,12:00:00,0.94945,0.95481,0.94926,0.95351,11323,0,5
76,2013.06.19,16:00:00,0.95344,0.95559,0.93057,0.93122,15524,0,5
77,2013.06.19,20:00:00,0.93123,0.93123,0.92607,0.9279,10448,0,5
78,2013.06.20,00:00:00,0.92789,0.93126,0.92391,0.92479,13897,0,5
79,2013.06.20,04:00:00,0.9248,0.92588,0.91871,0.91951,13614,0,5
80,2013.06.20,08:00:00,0.91952,0.92239,0.91637,0.92144,17877,0,5
81,2013.06.20,12:00:00,0.92151,0.92327,0.91633,0.91863,19324,0,5
82,2013.06.20,16:00:00,0.91863,0.92267,0.91705,0.91963,13767,0,5
83,2013.06.20,20:00:00,0.91962,0.92141,0.91896,0.91949,8022,0,5
84,2013.06.21,00:00:00,0.91949,0.92512,0.91942,0.92259,11892,0,5
85,2013.06.21,04:00:00,0.92258,0.92588,0.92084,0.92288,12751,0,5
86,2013.06.21,08:00:00,0.92291,0.9253,0.92158,0.92307,11801,0,5
87,2013.06.21,12:00:00,0.92306,0.92306,0.91822,0.91896,18695,0,5
88,2013.06.21,16:00:00,0.91898,0.92514,0.91887,0.92341,12330,0,5
89,2013.06.21,20:00:00,0.92342,0.92381,0.92106,0.92156,1480,0,5
90,2013.06.24,00:00:00,0.92426,0.92492,0.91913,0.9213,10980,0,5
91,2013.06.24,04:00:00,0.92129,0.92267,0.91566,0.91746,13534,0,5
92,2013.06.24,08:00:00,0.91739,0.92042,0.91476,0.92002,13713,0,5
93,2013.06.24,12:00:00,0.92007,0.92711,0.91751,0.92346,19805,0,5
94,2013.06.24,16:00:00,0.92347,0.92987,0.9233,0.9264,14113,0,5
95,2013.06.24,20:00:00,0.92638,0.9276,0.92451,0.92751,6548,0,5
96,2013.06.25,00:00:00,0.92751,0.92758,0.92042,0.92082,10898,0,5
97,2013.06.25,04:00:00,0.92082,0.92829,0.91964,0.92783,14019,0,5
98,2013.06.25,08:00:00,0.9279,0.92968,0.92448,0.92759,12690,0,5
99,2013.06.25,12:00:00,0.92758,0.92809,0.92184,0.92463,17417,0,5
100,2013.06.25,16:00:00,0.92464,0.92783,0.92426,0.92665,9322,0,5
101,2013.06.25,20:00:00,0.92665,0.92703,0.92411,0.92469,5880,0,5
102,2013.06.26,00:00:00,0.92469,0.92738,0.92354,0.92477,11494,0,5
103,2013.06.26,04:00:00,0.92473,0.93129,0.92463,0.92948,12586,0,5
104,2013.06.26,08:00:00,0.92949,0.9309,0.92588,0.92714,12329,0,5
105,2013.06.26,12:00:00,0.92714,0.93441,0.92653,0.92895,15771,0,5
106,2013.06.26,16:00:00,0.92898,0.93001,0.92458,0.92763,9167,0,5
107,2013.06.26,20:00:00,0.92761,0.92884,0.927,0.92853,4548,0,5
108,2013.06.27,00:00:00,0.92854,0.93339,0.92746,0.9324,7925,0,28
109,2013.06.27,04:00:00,0.93237,0.93376,0.92974,0.93157,11898,0,8
110,2013.06.27,08:00:00,0.93153,0.93286,0.92807,0.92943,16207,0,8
111,2013.06.27,12:00:00,0.92943,0.93298,0.92728,0.92765,18913,0,8
112,2013.06.27,16:00:00,0.92765,0.92844,0.92613,0.92772,12639,0,8
113,2013.06.27,20:00:00,0.92769,0.92855,0.92717,0.92808,4665,0,28
114,2013.06.28,00:00:00,0.92807,0.92825,0.92144,0.92567,10832,0,28
115,2013.06.28,04:00:00,0.92566,0.92827,0.92465,0.92654,12928,0,8
116,2013.06.28,08:00:00,0.92656,0.92667,0.92333,0.92336,14210,0,8
117,2013.06.28,12:00:00,0.92334,0.92402,0.91327,0.91513,20447,0,8
118,2013.06.28,16:00:00,0.91512,0.9169,0.91128,0.91571,13884,0,8
119,2013.06.28,20:00:00,0.9157,0.9157,0.9134,0.9134,3283,0,28
120,2013.07.01,00:00:00,0.91412,0.91868,0.91347,0.91769,9354,0,5
121,2013.07.01,04:00:00,0.91772,0.92065,0.91543,0.91556,9652,0,5
122,2013.07.01,08:00:00,0.9155,0.92028,0.91547,0.91817,10671,0,5
123,2013.07.01,12:00:00,0.91818,0.92468,0.91762,0.92457,13677,0,5
124,2013.07.01,16:00:00,0.92456,0.92528,0.92259,0.92298,7822,0,5
125,2013.07.01,20:00:00,0.92299,0.9245,0.92245,0.92425,4754,0,5
126,2013.07.02,00:00:00,0.92422,0.92498,0.92078,0.92194,9804,0,5
127,2013.07.02,04:00:00,0.92196,0.92344,0.91524,0.91856,13814,0,5
128,2013.07.02,08:00:00,0.91855,0.92121,0.9164,0.91663,12268,0,5
129,2013.07.02,12:00:00,0.91665,0.91747,0.91362,0.9157,15493,0,5
130,2013.07.02,16:00:00,0.9157,0.91623,0.91302,0.91418,10190,0,5
131,2013.07.02,20:00:00,0.91417,0.91493,0.91358,0.91392,5314,0,5
132,2013.07.03,00:00:00,0.91391,0.91895,0.90933,0.90995,13432,0,5
133,2013.07.03,04:00:00,0.90995,0.91137,0.90519,0.90668,13585,0,5
134,2013.07.03,08:00:00,0.90666,0.90993,0.9066,0.90782,13660,0,5
135,2013.07.03,12:00:00,0.90781,0.90977,0.90543,0.90853,16296,0,5
136,2013.07.03,16:00:00,0.90853,0.90939,0.90367,0.90654,7732,0,5
137,2013.07.03,20:00:00,0.90654,0.91182,0.90624,0.91157,8012,0,5
138,2013.07.04,00:00:00,0.9116,0.91322,0.90728,0.91107,10476,0,5
139,2013.07.04,04:00:00,0.91107,0.91231,0.90871,0.91042,11145,0,5
140,2013.07.04,08:00:00,0.91039,0.91437,0.9101,0.91201,10579,0,5
141,2013.07.04,12:00:00,0.91201,0.91806,0.91173,0.91604,13784,0,5
142,2013.07.04,16:00:00,0.91605,0.9175,0.91329,0.91468,5671,0,5
143,2013.07.04,20:00:00,0.91467,0.91563,0.91319,0.91504,6646,0,5
144,2013.07.05,00:00:00,0.91504,0.91521,0.91228,0.91263,8041,0,5
145,2013.07.05,04:00:00,0.91261,0.91628,0.91249,0.91599,8647,0,5
146,2013.07.05,08:00:00,0.916,0.91797,0.91501,0.91705,9948,0,5
147,2013.07.05,12:00:00,0.91706,0.91794,0.9048,0.90689,18534,0,5
148,2013.07.05,16:00:00,0.90688,0.90747,0.90484,0.90591,7526,0,5
149,2013.07.05,20:00:00,0.90593,0.9068,0.90553,0.9059,1016,0,5
150,2013.07.08,00:00:00,0.90425,0.90599,0.90423,0.90541,7462,0,5
151,2013.07.08,04:00:00,0.90543,0.90703,0.90416,0.90628,8145,0,5
152,2013.07.08,08:00:00,0.90635,0.90951,0.9057,0.90784,8264,0,5
153,2013.07.08,12:00:00,0.90784,0.91368,0.90784,0.91125,11440,0,5
154,2013.07.08,16:00:00,0.9113,0.91451,0.91108,0.91317,5849,0,5
155,2013.07.08,20:00:00,0.91317,0.9144,0.91194,0.91197,5672,0,5
156,2013.07.09,00:00:00,0.91193,0.91308,0.90829,0.91242,10632,0,5
157,2013.07.09,04:00:00,0.91243,0.9198,0.91188,0.9174,11736,0,5
158,2013.07.09,08:00:00,0.9174,0.91866,0.91412,0.91728,10864,0,5
159,2013.07.09,12:00:00,0.91728,0.92005,0.91343,0.91592,14279,0,5
160,2013.07.09,16:00:00,0.91592,0.91939,0.9153,0.9193,7127,0,5
161,2013.07.09,20:00:00,0.91929,0.91929,0.91532,0.91545,5307,0,5
162,2013.07.10,00:00:00,0.91544,0.91872,0.91258,0.9163,11631,0,5
163,2013.07.10,04:00:00,0.9163,0.92175,0.9163,0.92106,13607,0,5
164,2013.07.10,08:00:00,0.92105,0.9234,0.9193,0.92061,11534,0,5
